Category,2023 (Q2),
Revenue,0,0
State Grants,7051228.6,7051228.6
Federal Grants,2500383.37,2500383.37
Total Grants,9551611.97,9551611.97
Contributions and Donations,11205.89,11205.89
Student Fees,0,0
Other Income,75865.81,75865.81
Financial Position,0,0
Total Assets,18669361,18669361
Current Assets,1943102,1943102
Total Liabilities,14682336,14682336
Current Liabilities,1842075,1842075
Net Asset Position,3987025,3987025
Financial Activities,0,0
Operating Revenues,9638683.67,9638683.67
Operating Expenses,10041402.59,10041402.59
Change in Net Assets,-402718.92,-402718.92
Supplemental Information,0,0
Administrative Staff,328681.42,328681.42
Instructional Staff,2611654.94,2611654.94
Non-Instructional Staff,531715.87,531715.87
Total Personnel Expenses,4921164.85,4921164.85
Instructional and Support Staff,2990365.38,2990365.38
Instructional Supplies,704320.41,704320.41
Management Fee,885774.94,885774.94
Unrestricted Net Assets,933788,933788
Unrestricted Cash,933788,933788
Principal Payments,112736.1,112736.1
Interest Expense,361321.39,361321.39
Lease/Mortgage Payments,180000,180000
Depreciation/Amortization,563389.82,563389.82
Insurance (Facility),398083.1,398083.1
Electric and Gas,259180.95,259180.95
Water and Sewer,19231.95,19231.95
Waste Disposal,22429.65,22429.65
Security Services,128267.16,128267.16
Repair and Maintenance,318761.55,318761.55
Enrollment Information,0,0
September ADM,1350,1342
February ADM,1350,1252
ADM Average,1350,1297
Audit Information,,
Auditor,,
Audit FY,,
2.1.a|The school effectively established and monitored budgets.,,
2.1.b|The school implemented appropriate financial policies and practices.,,
2.1.c|The school completed timely and accurate financial reporting.,,
2.1.d|The school complied with state audit requirements.,,
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,
3.2|The school followed appropriate and lawful student discipline processes,,
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,
3.5|The school protected the rights of students.,,
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,
3.7|The school met ICSB and IDOE reporting requirements.,,
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,
Audit is free of findings of material weakness,,
Audit is free of findings of significant deficiency,,
Audit is free of instances of noncompliance under GAAS,,
Audit is free of questioned costs,,
Audit includes an unqualified opinion,,
Notes,,
