Category,2022,2021,2020,2019,2018,2017
Revenue,0.0,0,0,0,0,0
State Grants,1291930.36,1152478,1095986,622952,589483,236355
Federal Grants,1124686.15,476707,315652,310865,458473,470674
Total Grants,2416616.51,1629185,1411638,933817,1047956,707029
Contributions and Donations,34157.62,43253,44139,43632,38014,103710
Student Fees,0.0,0,0,0,0,0
Interest Income,84.86,45,124,289,113834,10000
Other Income,100509.20000000001,38583,24165,14556,134474,11854
Financial Position,0.0,0,0,0,0,0
Total Assets,751663.3200000001,389202,250565,317255,346284,155443
Current Assets,621802.66,259342,57853,81307,346284,155443
Total Liabilities,243050.94,296973,215656,299091,157875,106581
Current Liabilities,243050.94,230030,148713,258170,157875,106581
Net Asset Position,508612.38,99229,34909,18164,188409,48862
Financial Activities,0.0,0,0,0,0,0
Operating Revenues,2551368.19,1711066,1480066,994242,1327142,930909
Operating Expenses,2146382.1,1653746,1541121,1164487,1187595,882047
Change in Net Assets,404986.08999999985,57320,-61055,-170245,139547,48862
Supplemental Information,0.0,0,0,0,0,0
Administrative Staff,202080.60000000003,0,0,0,0,0
Instructional Staff,930940.9700000001,0,0,0,0,0
Non-Instructional Staff,0.0,0,0,0,0,0
Total Personnel Expenses,1317300.58,0,0,0,0,0
Instructional and Support Staff,930940.9700000001,0,0,0,0,0
Instructional Supplies,165915.9,0,0,0,0,0
Management Fee,0.0,0,0,0,0,0
Unrestricted Net Assets,478612.38,92229,34909,18164,188409,48862
Unrestricted Cash,379895.03,138109,14778,31797,108719,7798
Principal Payments,0.0,0,0,0,0,0
Interest Expense,13777.33,20854,16635,7641,3911,843
Lease/Mortgage Payments,183138.32,251007,193640,199184,72928,6120
Depreciation/Amortization,0.0,80719,74046,53513,37336,36289
Insurance (Facility),0.0,0,0,0,0,0
Electric and Gas,25366.48,0,0,0,0,0
Water and Sewer,0.0,0,0,0,0,0
Waste Disposal,2829.8500000000004,0,0,0,0,0
Security Services,1390.8,0,0,0,0,0
Repair and Maintenance,23426.38,0,0,0,0,0
Enrollment Information,0.0,0,0,0,0,0
September Count,136.0,162,163,90,81,35
February Count,138.0,165,156,0,79,32
ADM Average,137.0,163.5,159.5,90,80,33.5
Audit Information,,0,0,0,0,0
Auditor,,Donovan,Donovan,Donovan,Clifton Larson,Clifton Larson
Audit FY,,2021,2020,2019,2018,2017
2.1.a|The school effectively established and monitored budgets.,,MS,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS,MS,MS,DNMS,DNMS
2.1.c|The school completed timely and accurate financial reporting.,,MS,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,,MS,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS,MS,MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,,MS,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS,MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS,MS,MS,MS,MS
3.5|The school protected the rights of students.,,MS,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS,MS,MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS,MS,DNMS,DNMS,DNMS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS,MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS,MS,MS,MS,MS
Audit is free of findings of material weakness,,,,,,
Audit is free of findings of significant deficiency,,,,,,
Audit is free of instances of noncompliance under GAAS,,,,,,
Audit is free of questioned costs,,,,,,
Audit includes an unqualified opinion,,,,,,
Notes,,,,,,
