Category,2022,2021,2020,2019,2018
Revenue,0,0,0,0,0
State Grants,0,15968931,11920679,11734844,10685763
Federal Grants,0,7500552,4251181,3549108,3369279
Total Grants,0,23469483,16171860,15283952,14055042
Contributions and Donations,0,7137020,3810605,3224958,2618514
Student Fees,0,31704,36570,52611,70321
Other Income,0,947600,47064,9435,56368
Financial Position,0,0,0,0,0
Total Assets,0,13789684,7946837,5484430,4270781
Current Assets,0,8870032,6642899,4353294,3346760
Total Liabilities,0,4106592,4219211,2003767,1404795
Current Liabilities,0,3757957,3898121,1681623,1150035
Net Asset Position,0,9683092,3727626,3480663,2865986
Financial Activities,0,0,0,0,0
Operating Revenues,0,31585807,20029529,18570956,16800245
Operating Expenses,0,25630341,19782566,17956279,16214263
Change in Net Assets,0,5955466,246963,614677,585982
Supplemental Information,0,0,0,0,0
Administrative Staff,0,0,0,0,0
Instructional Staff,0,0,0,0,0
Non-Instructional Staff,0,0,0,0,0
Total Personnel Expenses,0,0,0,0,0
Instructional and Support Staff,0,0,0,0,0
Instructional Supplies,0,0,0,0,0
Management Fee,0,0,0,0,0
Unrestricted Net Assets,0,8773174,3324751,3409779,2809920
Unrestricted Cash,0,7255231,6083216,4069381,3090697
Principal Payments,0,0,0,0,0
Interest Expense,0,0,0,0,0
Lease/Mortgage Payments,0,3033794,2090800,2090800,2084730
Depreciation/Amortization,0,355592,310871,258139,209458
Insurance (Facility),0,0,0,0,0
Electric and Gas,0,0,0,0,0
Water and Sewer,0,0,0,0,0
Waste Disposal,0,0,0,0,0
Security Services,0,0,0,0,0
Repair and Maintenance,0,0,0,0,0
Enrollment Information,0,0,0,0,0
September Count,0,0,0,0,0
February Count,0,0,0,0,0
ADM Average,2207.5,1819,1701,1612.5,1524
Audit Information,0,0,0,0,0
Auditor,,Crowe LLP,Crowe LLP,Crowe LLP,Crowe LLP
Audit FY,,2021,2020,2019,2018
