Category,2023 (Q2),2022,2021,2020,2019
Revenue,0.0,0,0,0,0
State Grants,2743857.05,5191158.61,4428000,4012875,4515750
Federal Grants,92078.01000000001,270769.78,776871,56215,41741
Total Grants,2835935.0599999996,5461928.39,5204871,4069090,4557491
Contributions and Donations,22450.0,141275.87,958982,344964,285454
Student Fees,2019.0,0,1875,520,120
Other Income,435319.98,1256815.6,5085,3961,4062
Financial Position,0.0,0,0,0,0
Total Assets,5390698.78,4959481.68,3954033,2449493,2268014
Current Assets,3911040.8800000004,3474618.23,2993930,2356439,2124991
Total Liabilities,193029.36,400329.79,689209,1051804,357611
Current Liabilities,193029.36,400329.79,639937,1007226,291553
Net Asset Position,5197669.42,4559151.89,3264824,1397689,1910403
Financial Activities,0.0,0,0,0,0
Operating Revenues,3295724.0399999996,6860019.86,6170813,4418535,4847127
Operating Expenses,2650970.67,6160974.61,4303678,4931249,4205419
Change in Net Assets,644753.3699999996,699045.25,1867135,-512714,641708
Supplemental Information,0.0,0,0,0,0
Administrative Staff,38629.159999999996,34231.69,0,0,0
Instructional Staff,694547.8,1043907.64,0,0,0
Non-Instructional Staff,281888.26999999996,227765.27,0,0,0
Total Personnel Expenses,1441006.2,2949375.79,0,0,0
Instructional and Support Staff,1120488.77,1928954.77,0,0,0
Instructional Supplies,478664.8700000001,97230.82,0,0,0
Management Fee,0.0,0,0,0,0
Unrestricted Net Assets,2515305.74,4489985.42,3064824,1332686,1910403
Unrestricted Cash,2515305.74,2077199.04,2862269,2343076,1586336
Principal Payments,0.0,0,0,0,0
Interest Expense,0.0,0,0,0,0
Lease/Mortgage Payments,3837.78,148542.84,437569.21,551250,647350
Depreciation/Amortization,100706.45999999999,177604.45,57695.04,52476.66,55280
Insurance (Facility),0.0,0,0,0,0
Electric and Gas,91648.82,60117.88,0,0,0
Water and Sewer,0.0,0,0,0,0
Waste Disposal,0.0,0,0,0,0
Security Services,3161.09,5073.49,0,0,0
Repair and Maintenance,28705.64,115532.9,0,0,0
Enrollment Information,0.0,0,0,0,0
September ADM,,714.0,577.0,617.0,669.0
February ADM,,733.0,735.0,572.0,489.0
ADM Average,,723.5,656.0,594.5,579.0
Audit Information,,,0,0,0
Auditor,,,Crowe,Crowe,Crowe
Audit FY,,,2021,2020,2019
2.1.a|The school effectively established and monitored budgets.,,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS,MS,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS,MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS,MS,MS,MS
3.5|The school protected the rights of students.,,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS,MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS,MS,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS,MS,MS,MS
Audit is free of findings of material weakness,,,,,
Audit is free of findings of significant deficiency,,,,,
Audit is free of instances of noncompliance under GAAS,,,,,
Audit is free of questioned costs,,,,,
Audit includes an unqualified opinion,,,,,
Notes,,,,,
