Category,2022,2021,2020,2019
Revenue,0,0,0,0
State Grants,6819554.15,4660853,4692714,4516576
Federal Grants,4571684.13,3803177,2516342,2186689
Total Grants,11391238.28,8464030,7209056,6703265
Contributions and Donations,4327999.26,3538817,2430211,2227750
Student Fees,25841.38,20281,20498,34624
Other Income,2547282.55,55082,4343,3183
Financial Position,0,0,0,0
Total Assets,10000572.45,6488264,3319140,2587533
Current Assets,3762383.33,2931673,2491102,1897917
Total Liabilities,1995387.68,2647263,2120770,1673921
Current Liabilities,1995387.68,2454546,1882832,1474029
Net Asset Position,8005184.77,3841001,1198370,913612
Financial Activities,0,0,0,0
Operating Revenues,18292474.35,12078210,9664108,8968822
Operating Expenses,14128292.36,9435579,9379350,8962242
Change in Net Assets,4164181.99,2642631,284758,6580
Supplemental Information,0,0,0,0
Administrative Staff,-62859.59,0,0,0
Instructional Staff,3938980.04,0,0,0
Non-Instructional Staff,202913.35,0,0,0
Total Personnel Expenses,6961152.25,0,0,0
Instructional and Support Staff,5031966.58,0,0,0
Instructional Supplies,585555.8,0,0,0
Management Fee,0,0,0,0
Unrestricted Net Assets,7741793.55,3396483,932107,866387
Unrestricted Cash,1840268.5,2250476,2125150,1676542
Principal Payments,0,0,0,0
Interest Expense,0,0,0,0
Lease/Mortgage Payments,2463.1,687161.3,536250,536256
Depreciation/Amortization,863440.94,157823.38,133285,108560
Insurance (Facility),0,0,0,0
Electric and Gas,6103.48,0,0,0
Water and Sewer,0,0,0,0
Waste Disposal,0,0,0,0
Security Services,3487.2,0,0,0
Repair and Maintenance,388493.18,0,0,0
Enrollment Information,0,0,0,0
September ADM,463.5,493.5,676.0,664.0
February ADM,460.5,488.5,663.0,656.0
ADM Average,462.0,491.0,669.5,660.0
Audit Information,,0,0,0
Auditor,,Crowe,Crowe,Crowe
Audit FY,,2021,2020,2019
2.1.a|The school effectively established and monitored budgets.,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,MS,MS,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",MS,MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",MS,MS,MS,MS
3.5|The school protected the rights of students.,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",MS,MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,MS,MS,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",MS,MS,MS,MS
Audit is free of findings of material weakness,,,,
Audit is free of findings of significant deficiency,,,,
Audit is free of instances of noncompliance under GAAS,,,,
Audit is free of questioned costs,,,,
Audit includes an unqualified opinion,,,,
Notes,,,,
