Category,2022 (Q2),2022,2021
Revenue,0.0,0,0
State Grants,1552730.5000000002,2301518,2301518
Federal Grants,1175652.93,2451613,2451613
Total Grants,2728383.43,4753131,4753131
Contributions and Donations,97153.5,1393901,1393901
Student Fees,8276.09,47238,47238
Other Income,441043.92999999993,0,0
Financial Position,0.0,0,0
Total Assets,3635064.6,3177326,3177326
Current Assets,1961371.29,2001194,2001194
Total Liabilities,1367510.03,1348257,1348257
Current Liabilities,1367510.03,1270057,1270057
Net Asset Position,2267554.57,1829069,1829069
Financial Activities,0.0,0,0
Operating Revenues,3274856.95,6194270,6194270
Operating Expenses,2837211.6399999997,5295897,5295897
Change in Net Assets,437645.3100000005,898373,898373
Supplemental Information,0.0,0,0
Administrative Staff,674.79,0,0
Instructional Staff,1133123.35,0,0
Non-Instructional Staff,181641.27999999997,0,0
Total Personnel Expenses,1535523.02,0,0
Instructional and Support Staff,1353206.9500000002,0,0
Instructional Supplies,548731.8999999999,0,0
Management Fee,0.0,0,0
Unrestricted Net Assets,798607.06,1803761,1803761
Unrestricted Cash,798607.06,1014681,1014681
Principal Payments,0.0,0,0
Interest Expense,0.0,0,0
Lease/Mortgage Payments,1362.24,0,0
Depreciation/Amortization,91224.16999999998,0,0
Insurance (Facility),0.0,0,0
Electric and Gas,81646.92,0,0
Water and Sewer,0.0,0,0
Waste Disposal,0.0,0,0
Security Services,0.0,0,0
Repair and Maintenance,2303.92,0,0
Enrollment Information,0.0,0,0
September ADM,,277.5,185.5
February ADM,,274.5,180.5
ADM Average,,276,183
Audit Information,,,0
Auditor,,,Crowe
Audit FY,,,2021
2.1.a|The school effectively established and monitored budgets.,,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,,MS,MS
2.1.d|The school complied with state audit requirements.,,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS,MS
3.5|The school protected the rights of students.,,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS,MS
Audit is free of findings of material weakness,,,
Audit is free of findings of significant deficiency,,,
Audit is free of instances of noncompliance under GAAS,,,
Audit is free of questioned costs,,,
Audit includes an unqualified opinion,,,
Notes,,,
