Category,2021,2020,2019,2018
Revenue,0,0,0,0
State Grants,1770455,1410866,1025102,0
Federal Grants,863125,780915,667371,0
Total Grants,2633580,2191781,1692473,730986
Other Income,158928,63679,44518,152773
Financial Position,0,0,0,0
Total Assets,5441732,864694,523618,187460
Current Assets,696774,774495,488844,154428
Total Liabilities,5219224.58,231757,207051,149395
Current Liabilities,187008,199107,151709,70697
Net Asset Position,665338,632937,316567,38065
Financial Activities,0,0,0,0
Operating Revenue,2818730,232272,1736991,883759
Operating Expenses,2795006,2115425,1458489,1048149
Change in Net Assets,32401,316370,278502,-164390
Supplemental Information,0,0,0,0
Administrative Staff,453161.2,0,0,0
Instructional Staff,662496.35,0,0,0
Non-Instructional Staff,146304.85,0,0,0
Total Personnel Expenses,1484641.27,0,0,0
Instructional & Support Staff,960222.83,0,0,0
Instructional Supplies,312920,0,0,0
Management Fee,0,0,0,0
Unrestricted Net Assets,665338,632937,316567,38065
Unrestricted Cash,423768.22,601956.71,368371.96,110435.23
Principal Payments,157651.53,21459,22082,22082
Interest Expense,117838,3486,6043,4158
Lease Payments (Facility),167782,270269,207361,183245
Depreciation Expense,78466,9581,8257.94,8258
Insurance (Facility),38351,16732,0,0
Electric & Gas,33341.24,0,0,0
Water & Sewage,5322.51,0,0,0
Waste Disposal,3075.48,0,0,0
Security Services,642,0,0,0
Maintenance/Repair,142703,62992,0,0
Enrollment Information,0,0,0,0
July Estimate,195,0,0,0
September Count,224,177,131,78
February Count,217,174,0,74
ADM Average,220.5,175.5,125.5,76
Audit Information,0,0,0,0
Auditor,Donovan,Donovan,Donovan,Donovan
Audit FY,2021,2020,2019,2018
School effectively established and monitored budgets,Y,,,
School implemented appropriate financial polices and procedures,Y,,,
School completed timely and accurate financial reporting,Y,,,
Audit is free of findings of Material Weakness,Y,,,
Audit is free of findings of Significant Deficiency,Y,,,
Audit is free of Instances of Noncompliance under GAAS,Y,,,
Audit is free of Questioned Costs,Y,,,
Audit includes unqualified opinion,Y,,,
