Category,2022,2021,2020,2019,2018
Revenue,0,0,0,0,0
State Grants,2590917.92,1770455,1410866,1025102,603307
Federal Grants,1331183.8,863125,780915,667371,127679
Total Grants,3922101.72,2633580,2191781,1692473,730986
Contributions and Donations,484679.68,26222,67812,25058,28480
Student Fees,0,0,0,0,0
Other Income,48215.93,158928,63679,19460,24293
Financial Position,0,0,0,0,0
Total Assets,5862329.61,5441732,864694,523618,187460
Current Assets,1037391.74,696774,774495,488844,154428
Total Liabilities,4933849.84,4776394,231757,207051,149395
Current Liabilities,329477.24,187008,199107,151709,70697
Net Asset Position,928479.77,665338,632937,316567,38065
Financial Activities,0,0,0,0,0
Operating Revenues,4454997.33,2818730,2323272,1736991,783759
Operating Expenses,4166137.21,2795006,2115425,1458489,1048149
Change in Net Assets,288860.12,23724,207847,278502,-264390
Supplemental Information,0,0,0,0,0
Administrative Staff,690584.88,0,0,0,0
Instructional Staff,689589.95,0,0,0,0
Non-Instructional Staff,0,0,0,0,0
Total Personnel Expenses,2093737.93,0,0,0,0
Instructional and Support Staff,1022705.2,0,0,0,0
Instructional Supplies,491477.3,0,0,0,0
Management Fee,0,0,0,0,0
Unrestricted Net Assets,898479.77,665338,632937,316567,38065
Unrestricted Cash,769265.86,423768,601957,368372,110435
Principal Payments,0,57239,21459,22082,22082
Interest Expense,262773.09,117838,3486,6043,4158
Lease/Mortgage Payments,0,167782,279718,207361,183245
Depreciation/Amortization,167762,78466,9581,8258,8258
Insurance (Facility),0,0,0,0,0
Electric and Gas,80906.86,0,0,0,0
Water and Sewer,3159.61,0,0,0,0
Waste Disposal,6247.31,0,0,0,0
Security Services,2770.87,0,0,0,0
Repair and Maintenance,8842.19,0,0,0,0
Enrollment Information,0,0,0,0,0
September Count,269,224,177,131,78
February Count,258,217,174,0,74
ADM Average,263.5,220.5,175.5,131,76
Audit Information,,0,0,0,0
Auditor,,Donovan,Donovan,Donovan,Donovan
Audit FY,,2021,2020,2019,2018
2.1.a|The school effectively established and monitored budgets.,MS,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,MS,MS,MS,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,MS,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,MS,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",MS,MS,MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,MS,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",MS,MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",MS,MS,MS,MS,MS
3.5|The school protected the rights of students.,MS,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",MS,MS,MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,MS,MS,MS,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",MS,MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",MS,MS,MS,MS,MS
Audit is free of findings of material weakness,,,,,
Audit is free of findings of significant deficiency,,,,,
Audit is free of instances of noncompliance under GAAS,,,,,
Audit is free of questioned costs,,,,,
Audit includes an unqualified opinion,,,,,
Notes,,,,,
