Category,2022,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,0,0,0,0,0,0,0,0,0
State Grants,2544896,2414795,2398135,2350646,2380568,2243110,2259692,2459253,2559334
Federal Grants,146532,48141,48478,67966,0,0,0,0,0
Total Grants,2691428,,,,2380567.62,2243110,2259692,2459253,2559334
Contributions and Donations,263,0,150,750,0,0,0,0,0
Student Fees,0,0,0,0,0,0,0,0,0
Other Income,12009,21448,21908,26292,27844,0,88,0,0
Financial Position,0,0,0,0,0,0,0,0,0
Total Assets,1843592,1590786,1547937,1266175,1057630,886090,919794,973843,977402
Current Assets,1801762,681465,1503447,1202462,988293,666071,508381,298377,102326
Total Liabilities,67150,67544,74378,80463,57603,74801,274133,430234,522816
Current Liabilities,67150,67544,74378,80463,57603,74801,177441,231088,232823
Net Asset Position,1776442,1523242,1473559,1185712,1000027.28,811289,645661,543609,454586
Financial Activities,0,0,0,0,0,0,0,0,0
Operating Revenues,2703700,2484384,2468671,2445654,2408411.62,2243110,2259780,2459253,2559334
Operating Expenses,2451482,2434696,2180824,2259969,2219674,2077482,2157728,2370230,2082580
Change in Net Assets,252218,49683,287847,185685,188738,165628,102052,89023,476754
Supplemental Information,0,0,0,0,0,0,0,0,0
Administrative Staff,132603,0,0,0,0,0,0,0,0
Instructional Staff,542111,0,0,0,0,0,0,0,0
Non-Instructional Staff,105994,0,0,0,0,0,0,0,0
Total Personnel Expenses,1418496,0,0,0,0,0,0,0,0
Instructional and Support Staff,854511,0,0,0,0,0,0,0,0
Instructional Supplies,142042,0,0,0,0,0,0,0,0
Management Fee,542677,0,0,0,0,0,0,0,0
Unrestricted Net Assets,1746442,1523242,1473559,1185712,1000027,811289,645661,543609,454586
Unrestricted Cash,798194,665984,519945,690323,381251,642800,487652,229577,88601
Principal Payments,0,0,0,0,0,0,0,0,0
Interest Expense,0,0,0,0,0,5865,12858,16508,20777
Lease/Mortgage Payments,126000,126000,126000,126000,117000,117000,117000,117000,107250
Depreciation/Amortization,12055,18527,26620,38458,197756,202053,267196,258851,229862
Insurance (Facility),0,0,0,0,0,0,0,0,0
Electric and Gas,23668,0,0,0,0,0,0,0,0
Water and Sewer,0,0,0,0,0,0,0,0,0
Waste Disposal,1265,0,0,0,0,0,0,0,0
Security Services,27715,0,0,0,0,0,0,0,0
Repair and Maintenance,16963,0,0,0,0,0,0,0,0
Enrollment Information,0,0,0,0,0,0,0,0,0
September Count,342,365,348,348,345,349,345,333,325
February Count,352,348,380,0,316,338,349,355,317
ADM Average,347,356.5,364,348,330.5,343.5,347,344,321
Audit Information,,0,0,0,0,0,0,0,0
Auditor,,Blue & Co,Blue & Co,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt
Audit FY,,2021,2020,2019,2018,2017,2016,2015,2014
2.1.a|The school effectively established and monitored budgets.,MS,MS,MS,MS,MS,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,MS,MS,MS,MS,MS,MS,MS,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,MS,MS,MS,MS,MS,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",MS,MS,MS,MS,MS,MS,MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",MS,MS,MS,MS,MS,MS,MS,MS,MS
3.5|The school protected the rights of students.,MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",MS,MS,MS,MS,MS,MS,MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",MS,MS,MS,MS,MS,MS,MS,MS,MS
Audit is free of findings of material weakness,,,,,,,,,
Audit is free of findings of significant deficiency,,,,,,,,,
Audit is free of instances of noncompliance under GAAS,,,,,,,,,
Audit is free of questioned costs,,,,,,,,,
Audit includes an unqualified opinion,,,,,,,,,
Notes,,Revenue & Expense totals do not include interfund transfers.,,,,,,,
