Category,2023 (Q2),2022,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,0.0,0,0,0,0,0,0,0,0,0
State Grants,1120500.0,2435654,2258336,2256647,2135182,2172186,2030549,2083055,2205765,2360481
Federal Grants,21338.0,170156,68991,39871,42985,0,0,0,0,0
Total Grants,1141838.0,2605810,2327327,2296518,2178167,2172186,2030549,2083055,2205765,2360481
Contributions and Donations,0.0,299,0,0,350,0,25,0,0,600
Student Fees,0.0,0,0,0,0,0,0,0,0,0
Other Income,15482.0,19165,11086,16399,14454,47446,25,0,0,0
Financial Position,0.0,0,0,0,0,0,0,0,0,0
Total Assets,1775986.0,1425821,1173843,1120431,1001066,1037283,908810,849824,839068,802907
Current Assets,1156796.0,1386684,855005,1008819,853311,945599,731000,546084,335515,173648
Total Liabilities,660684.0,85069,78070,73956,71202,91806,62496,187605,302198,382407
Current Liabilities,148057.0,85069,78070,73956,71202,91806,62496,132127,178762,196253
Net Asset Position,1115302.0,1340752,1095773,1046475,929864,945476.97,846314,662219,536870,420500
Financial Activities,0.0,0,0,0,0,0,0,0,0,0
Operating Revenues,1157320.0,2625274,2338413,2312917,2192971,2219631.86,2030574,2083055,2205765,2361081
Operating Expenses,1175978.0,2383024,2289115,2196306,2208584,2120469,1846479,1957706,2089395,1919570
Change in Net Assets,-18658.0,242250,49298,116611,-15613,99163,184095,125349,116370,441511
Supplemental Information,0.0,0,0,0,0,0,0,0,0,0
Administrative Staff,75891.0,145363,0,0,0,0,0,0,0,0
Instructional Staff,337541.0,471752,0,0,0,0,0,0,0,0
Non-Instructional Staff,31446.0,72531,0,0,0,0,0,0,0,0
Total Personnel Expenses,733430.0,1311600,0,0,0,0,0,0,0,0
Instructional and Support Staff,474568.0,778082,0,0,0,0,0,0,0,0
Instructional Supplies,30021.0,110510,0,0,0,0,0,0,0,0
Management Fee,0.0,512269,0,0,0,0,0,0,0,0
Unrestricted Net Assets,500555.0,1310752,1095773,1046475,929864,945477,846314,662219,536870,420500
Unrestricted Cash,500555.0,797863,838203,570649,367901,422974,717440,527551,264192,161766
Principal Payments,0.0,0,0,0,0,0,0,0,0,0
Interest Expense,0.0,0,0,0,0,0,362,7752,10688,13374
Lease/Mortgage Payments,64695.0,109883,109883,110281,107494,105105,105105,105105,105105,100025
Depreciation/Amortization,17630.0,35700,36773,46499,61098,138801,142041,204160,195890,151840
Insurance (Facility),87562.0,0,0,0,0,0,0,0,0,0
Electric and Gas,54000.0,94708,0,0,0,0,0,0,0,0
Water and Sewer,0.0,0,0,0,0,0,0,0,0,0
Waste Disposal,0.0,39,0,0,0,0,0,0,0,0
Security Services,234.0,30387,0,0,0,0,0,0,0,0
Repair and Maintenance,529.0,11640,0,0,0,0,0,0,0,0
Enrollment Information,0.0,0,0,0,0,0,0,0,0,0
September ADM,,333.0,325.0,339.0,315.0,315.0,296.0,284,286,319
February ADM,,334.0,341.72,327.86,312.0,304.0,304.0,329,320,576
ADM Average,,333.5,333.36,333.43,313.5,309.5,300.0,306.5,303,297.5
Audit Information,,,0,0,0,0,0,0,0,0
Auditor,,,Blue & Co,Blue & Co,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt
Audit FY,,,2021,2020,2019,2018,2017,2016,2015,2014
2.1.a|The school effectively established and monitored budgets.,,MS,MS,MS,MS,MS,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS,MS,MS,MS,MS,MS,MS,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,,MS,MS,MS,MS,MS,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,,MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS,MS,MS,MS,MS,MS,MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,,MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS,MS,MS,MS,MS,MS,MS,MS,MS
3.5|The school protected the rights of students.,,MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS,MS,MS,MS,MS,MS,MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS,MS,MS,MS,MS,MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS,MS,MS,MS,MS,MS,MS,MS,MS
Audit is free of findings of material weakness,,,,,,,,,,
Audit is free of findings of significant deficiency,,,,,,,,,,
Audit is free of instances of noncompliance under GAAS,,,,,,,,,,
Audit is free of questioned costs,,,,,,,,,,
Audit includes an unqualified opinion,,,,,,,,,,
Notes,,,Revenue & Expense totals do not include interfund transfers.,,,,,,,
