Category,2022,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,0,0,0,0,0,0,0,0,0
State Grants,0,28972620,28956875,26873748,23632233,20782921,21449849,19638286,20631196
Federal Grants,0,1059667,1182937,985297,866445,761978,786431,720012,756416
Total Grants,0,30032287,30139812,27859045,24498678,21544899,22236280,20358298,21387612
Contributions and Donations,0,297145,157967,124375,0,25,90745,252348,324173
Student Fees,0,0,0,0,0,0,0,0,0
Other Income,0,272470,554999,224294,537966,26633,3438,5307,29562
Financial Position,0,0,0,0,0,0,0,0,0
Total Assets,0,16564242,15977913,13310815,11801527,10832605,8820196,8086601,7248353
Current Assets,0,8683815,8097291,5813014,6099141,6537272,6346244,5167734,335417
Total Liabilities,0,1039443,1092250,990816,710041,1062952,1086971,1516387,1867416
Current Liabilities,0,1039443,1092250,990816,710041,1062952,934801,1193805,1391269
Net Asset Position,0,1524799,14885663,12319999,11089469,9769653,7733225,6570214,5380937
Financial Activities,0,0,0,0,0,0,0,0,0
Operating Revenues,0,30601902,30694811,28207714,25037744,21571557,22330463,20615953,21741347
Operating Expenses,0,29962766,28129147,26979201,23715911,19535129,21167452,19426676,19230529
Change in Net Assets,0,639136,2565664,1228513,1321833,2036428,1163011,1189277,2510818
Supplemental Information,0,0,0,0,0,0,0,0,0
Administrative Staff,0,0,0,0,0,0,0,0,0
Instructional Staff,0,0,0,0,0,0,0,0,0
Non-Instructional Staff,0,0,0,0,0,0,0,0,0
Total Personnel Expenses,0,0,0,0,0,0,0,0,0
Instructional and Support Staff,0,0,0,0,0,0,0,0,0
Instructional Supplies,0,0,0,0,0,0,0,0,0
Management Fee,0,0,0,0,0,0,0,0,0
Unrestricted Net Assets,0,1524799,14885663,12319999,11087452,9636389,7599961,6305967,5296438
Unrestricted Cash,0,8468284,7291433,4686241,5411504,5741601,6014895,4402053,3091373
Principal Payments,0,0,0,0,0,0,310310,246725,539208
Interest Expense,0,0,0,0,0,6227,20610,27196,42733
Lease/Mortgage Payments,0,1871848,1894864,1903219,1596642,1685042,1600511,1184718,1223029
Depreciation/Amortization,0,1271134,1311834,1131336,1335294,1160284,1410573,1416489,1371742
Insurance (Facility),0,0,0,0,0,0,0,0,0
Electric and Gas,0,0,0,0,0,0,0,0,0
Water and Sewer,0,0,0,0,0,0,0,0,0
Waste Disposal,0,0,0,0,0,0,0,0,0
Security Services,0,0,0,0,0,0,0,0,0
Repair and Maintenance,0,0,0,0,0,0,0,0,0
Enrollment Information,0,0,0,0,0,0,0,0,0
September Count,0,0,0,0,0,0,0,0,0
February Count,0,0,0,0,0,0,0,0,0
ADM Average,4058,4276.5,4277.5,3929.5,3457,3122,3160,2923,2800
Audit Information,,0,0,0,0,0,0,0,0
Auditor,,,Blue & Co,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt
Audit FY,,,2020,2019,2018,2017,2016,2015,2014
