Category,2022,2021,2020,2019,2018,2017,2016
Revenue,0,0,0,0,0,0,0
State Grants,1364132,1280950,1318502,1269276,1275055,1491396,1411669
Federal Grants,105966,33909,29963,31097,0,0,0
Total Grants,1470098,1314859,1348465,1300373,1275055,1491396,1411669
Contributions and Donations,79,0,0,354,350,0,15335
Student Fees,0,0,0,0,0,0,0
Other Income,9247,19204,19288,-84,14249,5013,0
Financial Position,0,0,0,0,0,0,0
Total Assets,447219,317587,298522,535604,611362,998506,539428
Current Assets,447219,287246,211493,356744,340379,605372,254346
Total Liabilities,54189,63974,44104,398803,489565,822928,680035
Current Liabilities,54189,63974,44104,398803,489565,822928,680035
Net Asset Position,393030,253613,254418,136801,121797,175578,-140607
Financial Activities,0,0,0,0,0,0,0
Operating Revenues,1479424,1334063,1367753,1300643,1289654.42,1496409,1427004
Operating Expenses,1342303,1334870,1250136,1285639,1343435,1180224,1564900
Change in Net Assets,137121,-807,117617,15004,-53781,316185,-137896
Supplemental Information,0,0,0,0,0,0,0
Administrative Staff,181401,0,0,0,0,0,0
Instructional Staff,308828,0,0,0,0,0,0
Non-Instructional Staff,48991,0,0,0,0,0,0
Total Personnel Expenses,868773,0,0,0,0,0,0
Instructional and Support Staff,450177,0,0,0,0,0,0
Instructional Supplies,63835,0,0,0,0,0,0
Management Fee,180115,0,0,0,0,0,0
Unrestricted Net Assets,363030,253613,254423,136801,121797,175578,-140607
Unrestricted Cash,431544,269782,198593,342754,317207,389475,209730
Principal Payments,0,0,0,0,0,0,0
Interest Expense,0,0,0,0,0,0,0
Lease/Mortgage Payments,117144,116532,109800,109800,109800,109800,103306
Depreciation/Amortization,39730,45085,99229,102170,120801,85506,89325
Insurance (Facility),0,0,0,0,0,0,0
Electric and Gas,0,0,0,0,0,0,0
Water and Sewer,0,0,0,0,0,0,0
Waste Disposal,0,0,0,0,0,0,0
Security Services,0,0,0,0,0,0,0
Repair and Maintenance,891,0,0,0,0,0,0
Enrollment Information,0,0,0,0,0,0,0
September Count,188,188,200,187,184,200,137
February Count,185,188,189,0,147,189,180
ADM Average,186.5,188,194.5,187,165.5,200,158.5
Audit Information,,0,0,0,0,0,0
Auditor,,Blue & Co,Blue & Co,Greenwalt,Greenwalt,Greenwalt,Greenwalt
Audit FY,,2021,2020,2019,2018,2017,2016
2.1.a|The school effectively established and monitored budgets.,MS,MS,MS,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,MS,MS,MS,MS,MS,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,MS,MS,MS,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,MS,MS,MS,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",MS,MS,MS,MS,MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,MS,MS,MS,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",MS,MS,MS,MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",MS,MS,MS,MS,MS,MS,MS
3.5|The school protected the rights of students.,MS,MS,MS,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",MS,MS,MS,MS,MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,MS,MS,MS,MS,MS,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",MS,MS,MS,MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",MS,MS,MS,MS,MS,MS,MS
Audit is free of findings of material weakness,,,,,,,
Audit is free of findings of significant deficiency,,,,,,,
Audit is free of instances of noncompliance under GAAS,,,,,,,
Audit is free of questioned costs,,,,,,,
Audit includes an unqualified opinion,,,,,,,
Notes,,Revenue & Expense totals do not include interfund transfers.,,,,,
