Category,2022,2021,2020,2019,2018,2017,2016
Revenue,0,0,0,0,0,0,0
State Grants,1195253.05,1788041,1674574,1687500,1791069,2145000,1702800
Federal Grants,5517.12,1805,0,0,0,522864,29412
Total Grants,1200770.17,1789846,1674574,1687500,1791069,2667864,1732212
Contributions and Donations,37151.24,6911,79162,0,0,442566,533223
Student Fees,0,0,0,0,0,0,0
Other Income,4076.7,178540,5069,59722,238177,2031,4559
Financial Position,0,0,0,0,0,0,0
Total Assets,1343693.31,1525214,1365989,1983862,2070354,2333717,1794147
Current Assets,926448.61,920614,622604,1014448,886940,866614,115126
Total Liabilities,120868.75,73097,238760,709880,823916,1036661,1341002
Current Liabilities,120868.75,73097,66407,195963,207494,317030,512268
Net Asset Position,1222599.56,1452117,1127229,1273982,1246438,1297056,453145
Financial Activities,0,0,0,0,0,0,0
Operating Revenues,1241998.11,1975297,1758805,1747222,2029246,3112461,2269994
Operating Expenses,1478532.43,1650409,1903548,1719455,1909645,2268550,1933868
Change in Net Assets,-236534.32,324888,-144743,27767,119601,843911,336126
Supplemental Information,0,0,0,0,0,0,0
Administrative Staff,108571.63,0,0,0,0,0,0
Instructional Staff,286003.35,0,0,0,0,0,0
Non-Instructional Staff,110200.27,0,0,0,0,0,0
Total Personnel Expenses,880878.28,0,0,0,0,0,0
Instructional and Support Staff,422104.23,0,0,0,0,0,0
Instructional Supplies,29511.44,0,0,0,0,0,0
Management Fee,9720,0,0,0,0,0,0
Unrestricted Net Assets,1191066.02,1450357,1116456,1051077,953046,1006705,137252
Unrestricted Cash,45892.54,901632,608768,949367,768950,744515,89329
Principal Payments,0,0,0,177213,134188,126843,62000
Interest Expense,0,1499,175458,37514,36806,30728,44153
Lease/Mortgage Payments,63809.72,45717,45716,48351,47907,46000,41061
Depreciation/Amortization,149994.57,168785,229323,240447,299465,286940,207517
Insurance (Facility),4106.82,0,0,0,0,0,0
Electric and Gas,30573.58,0,0,0,0,0,0
Water and Sewer,1892.1,0,0,0,0,0,0
Waste Disposal,2264.07,0,0,0,0,0,0
Security Services,15946,0,0,0,0,0,0
Repair and Maintenance,7189.87,0,0,0,0,0,0
Enrollment Information,0,0,0,0,0,0,0
September Count,216,268,258,250,248,366,255
February Count,138,263,239,0,209,285,261
ADM Average,177,265.5,248.5,250,228.5,325.5,258
Audit Information,,0,0,0,0,0,0
Auditor,,Kruggel Lawton,Kruggel Lawton,Kruggel Lawton,Kruggel Lawton,Kruggel Lawton,Kruggel Lawton
Audit FY,,2021,2020,2019,2018,2017,2016
2.1.a|The school effectively established and monitored budgets.,,MS,MS,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS,MS,MS,MS,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,,MS,MS,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,,MS,MS,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS,MS,MS,MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,,MS,MS,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS,MS,MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS,MS,MS,MS,MS,MS
3.5|The school protected the rights of students.,,MS,MS,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS,MS,MS,MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS,MS,MS,MS,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS,MS,MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS,MS,MS,MS,MS,MS
Audit is free of findings of material weakness,,,,,,,
Audit is free of findings of significant deficiency,,,,,,,
Audit is free of instances of noncompliance under GAAS,,,,,,,
Audit is free of questioned costs,,,,,,,
Audit includes an unqualified opinion,,,,,,,
Notes,,,,,,,
