Category,2021,2020
Revenue,0,0
State Grants,1107628,828799
Federal Grants,188281,464887
Total Grants,1295909,1293686
Other Income,32289,1364552
Financial Position,0,0
Total Assets,941648,1141518
Current Assets,277206,288474
Total Liabilities,960272,1194313
Current Liabilities,960272,1194313
Net Asset Position,-18624,-52795
Financial Activities,0,0
Operating Revenue,1328198,2658238
Operating Expenses,1293769,2662715
Change in Net Assets,34429,-4477
Supplemental Information,0,0
Administrative Staff,119548,0
Instructional Staff,192646,0
Non-Instructional Staff,157499,0
Total Personnel Expenses,585112,0
Instructional & Support Staff,374585.04,0
Instructional Supplies,66210,0
Management Fee,193404,0
Unrestricted Net Assets,-28624,-52795
Unrestricted Cash,257054,137508
Principal Payments,82677,0
Interest Expense,0,0
Lease Payments (Facility),82677,84644
Depreciation Expense,203694,138395
Insurance (Facility),0,0
Electric & Gas,31737,0
Water & Sewage,0,0
Waste Disposal,0,0
Security Services,7143,0
Maintenance/Repair,7200,0
Enrollment Information,0,0
July Estimate,134,0
September Count,156,122
February Count,172,126
ADM Average,164,124
Audit Information,0,0
Auditor,,Blue & Co
Audit FY,,2020
School effectively established and monitored budgets,,
School implemented appropriate financial polices and procedures,,
School completed timely and accurate financial reporting,,
Audit is free of findings of Material Weakness,,
Audit is free of findings of Significant Deficiency,,
Audit is free of Instances of Noncompliance under GAAS,,
Audit is free of Questioned Costs,,
Audit includes unqualified opinion,,
