Category,2021,2020,2019,2018
Revenue,0,0,0,0
State Grants,2105277,2210185,0,0
Federal Grants,92674,28204,0,0
Total Grants,2197951,2238389,1925518,1255500
Other Income,19340,2213324,143972,111046.7
Financial Position,0,0,0,0
Total Assets,1709490,1721099,1735375,1628711
Current Assets,357787,289609,216210,84856
Total Liabilities,1712989,1979092,2297985,2351234.34
Current Liabilities,1712989,1979092,2297985,2351234
Net Asset Position,-3499,-257993,-562610,-722523.34
Financial Activities,0,0,0,0
Operating Revenue,2217291,4451713,2069490,1366546.7
Operating Expenses,1962797,4147096,1909577,1999007
Change in Net Assets,254494,304617,159913,-632460.3
Supplemental Information,0,0,0,0
Administrative Staff,123409,0,0,0
Instructional Staff,418251,0,0,0
Non-Instructional Staff,297945,0,0,0
Total Personnel Expenses,1067178,0,0,0
Instructional & Support Staff,859831.4,0,0,0
Instructional Supplies,65966,0,0,0
Management Fee,374328,0,0,0
Unrestricted Net Assets,-33499,-257993,-562610,-722523
Unrestricted Cash,349710,270538,216210,0
Principal Payments,36640,0,0,0
Interest Expense,0,0,0,0
Lease Payments (Facility),36640,36640,36640,168935
Depreciation Expense,132763,117876,34459,198869
Insurance (Facility),0,0,0,0
Electric & Gas,87741,0,0,0
Water & Sewage,0,0,0,0
Waste Disposal,3731,0,0,0
Security Services,23676,0,0,0
Maintenance/Repair,21220,0,0,0
Enrollment Information,0,0,0,0
July Estimate,300,0,0,0
September Count,306,316,282,186
February Count,316,340,0,191
ADM Average,311,328,283,188.5
Audit Information,0,0,0,0
Auditor,,Blue & Co,Greenwalt,Greenwalt
Audit FY,,2020,2019,2018
School effectively established and monitored budgets,,,,
School implemented appropriate financial polices and procedures,,,,
School completed timely and accurate financial reporting,,,,
Audit is free of findings of Material Weakness,,,,
Audit is free of findings of Significant Deficiency,,,,
Audit is free of Instances of Noncompliance under GAAS,,,,
Audit is free of Questioned Costs,,,,
Audit includes unqualified opinion,,,,
