Category,2021,2020,2019
Revenue,0,0,0
State Grants,829878.75,761265,0
Federal Grants,202589.04,179173,0
Total Grants,1032467.79,940438.02,482822
Other Income,82771.61,153580,182544
Financial Position,0,0,0
Total Assets,260663.4,503120,208754.49
Current Assets,53990.76,238224,184324.22
Total Liabilities,773087.62,880926,385981
Current Liabilities,773087.62,698382,385981
Net Asset Position,-512424.22,-377806,-177226.51
Financial Activities,0,0,0
Operating Revenue,1115239.4,1094018.02,665366
Operating Expenses,1301231.65,1295348,1005945
Change in Net Assets,-185992.25,-201329.98,-340579
Supplemental Information,0,0,0
Administrative Staff,115338.82,0,0
Instructional Staff,341093.17,0,0
Non-Instructional Staff,171813.32,0,0
Total Personnel Expenses,782523.16,0,0
Instructional & Support Staff,554638.47,0,0
Instructional Supplies,25179.63,0,0
Management Fee,6204,0,0
Unrestricted Net Assets,-557349.22,-389931,-177226
Unrestricted Cash,675.47,217161,-89228.13
Principal Payments,60000,0,0
Interest Expense,6120.45,7880,2718
Lease Payments (Facility),60000,66999,64792
Depreciation Expense,75283.43,67364.77,9885
Insurance (Facility),5465.56,0,0
Electric & Gas,31140.95,0,0
Water & Sewage,0,0,0
Waste Disposal,0,0,0
Security Services,12068,0,0
Maintenance/Repair,1825.56,0,0
Enrollment Information,0,0,0
July Estimate,110,0,0
September Count,114,100,27
February Count,132,126,0
ADM Average,123,113,36.5
Audit Information,0,0,0
Auditor,,Kruggel Lawton,Kruggel Lawton
Audit FY,,2020,2019
School effectively established and monitored budgets,,,
School implemented appropriate financial polices and procedures,,,
School completed timely and accurate financial reporting,,,
Audit is free of findings of Material Weakness,,,
Audit is free of findings of Significant Deficiency,,,
Audit is free of Instances of Noncompliance under GAAS,,,
Audit is free of Questioned Costs,,,
Audit includes unqualified opinion,,,
