Category,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,0,0,0,0,0,0,0,0
State Grants,2414795,2398135,0,0,0,0,0,0
Federal Grants,48141,48478,0,0,0,0,0,0
Total Grants,2462936,2446613,2418612,2380567.62,2243110,2259692,2459253,2559334
Other Income,21448,1312058,277042,27844,0,88,0,0
Financial Position,0,0,0,0,0,0,0,0
Total Assets,1590787,1547937,1266175,1057630,886090,919794,973843,977402
Current Assets,1553974,1503447,1202462,988293,666071,508381,298377,102326
Total Liabilities,67542,74379,80463,57602.72,74801,274133,430234,522816
Current Liabilities,67542,74379,80463,57602.72,74801,177441,231088,232823
Net Asset Position,1523245,1473558,1185712,1000027.28,811289,645661,543609,454586
Financial Activities,0,0,0,0,0,0,0,0
Operating Revenue,2484384,3758671,2695654,2408411.62,2243110,2259780,2459253,2559334
Operating Expenses,2434696,3470824,2509969,2219674,2077482,2157728,2370230,2082580
Change in Net Assets,49688,287847,185685,188737.62,165628,102052,89023,476754
Supplemental Information,0,0,0,0,0,0,0,0
Administrative Staff,124267,0,0,0,0,0,0,0
Instructional Staff,526254,0,0,0,0,0,0,0
Non-Instructional Staff,363851,0,0,0,0,0,0,0
Total Personnel Expenses,1314495,0,0,0,0,0,0,0
Instructional & Support Staff,1007032.2,0,0,0,0,0,0,0
Instructional Supplies,91117,0,0,0,0,0,0,0
Management Fee,633618,0,0,0,0,0,0,0
Unrestricted Net Assets,1493245,1473559,1185712,1000027,811289,645661,0,0
Unrestricted Cash,665984,519945,690323,381251,642800,487652,229577,88601
Principal Payments,126000,0,0,0,0,192114,10403,10403
Interest Expense,0,0,0,0,5865,12858,16508,20777
Lease Payments (Facility),126000,126000,271742,244931,250399,255087,117000,107250
Depreciation Expense,18527,26620,38458,197756,202053,267196,258851,229862
Insurance (Facility),0,0,0,0,0,0,0,0
Electric & Gas,19330,0,0,0,0,0,0,0
Water & Sewage,0,0,0,0,0,0,0,0
Waste Disposal,1560,0,0,0,0,0,0,0
Security Services,37208,0,0,0,0,0,0,0
Maintenance/Repair,48006,0,0,0,0,0,0,0
Enrollment Information,0,0,0,0,0,0,0,0
July Estimate,340,0,0,0,0,0,0,0
September Count,365,348,348,345,349,345,333,325
February Count,348,380,0,316,338,349,355,317
ADM Average,356.5,364,328.5,330.5,343.5,347,344,321
Audit Information,0,0,0,0,0,0,0,0
Auditor,,Blue & Co,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt
Audit FY,,2020,2019,2018,2017,2016,2015,2014
School effectively established and monitored budgets,,,,,,,,
School implemented appropriate financial polices and procedures,,,,,,,,
School completed timely and accurate financial reporting,,,,,,,,
Audit is free of findings of Material Weakness,,,,,,,,
Audit is free of findings of Significant Deficiency,,,,,,,,
Audit is free of Instances of Noncompliance under GAAS,,,,,,,,
Audit is free of Questioned Costs,,,,,,,,
Audit includes unqualified opinion,,,,,,,,
