Category,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,0,0,0,0,0,0,0,0
State Grants,2258336,2256647,0,0,0,0,0,0
Federal Grants,68991,39871,0,0,0,0,0,0
Total Grants,2327327,2296518,2178167,2172185.86,2030549,2083055,2205765,2360481
Other Income,11086,1236399,264804,47446,25,0,0,600
Financial Position,0,0,0,0,0,0,0,0
Total Assets,1173843,1120431,1001066,1037283,908810,849824,839068,802907
Current Assets,1099006,1008819,853311,945599,731000,546084,335515,173648
Total Liabilities,78069,73956,71202,91806.03,62496,187605,302198,382407
Current Liabilities,78069,73956,71202,91806.03,62496,132127,178762,196253
Net Asset Position,1095774,1046475,929864,945476.97,846314,662219,536870,420500
Financial Activities,0,0,0,0,0,0,0,0
Operating Revenue,2338413,3532917,2442971,2219631.86,2030574,2083055,2205765,2361081
Operating Expenses,2289111,3416306,2458584,2120469,1846479,1957706,2089395,1919570
Change in Net Assets,49302,116611,-15613,99162.86,184095,125349,116370,441511
Supplemental Information,0,0,0,0,0,0,0,0
Administrative Staff,169145,0,0,0,0,0,0,0
Instructional Staff,476817,0,0,0,0,0,0,0
Non-Instructional Staff,325572,0,0,0,0,0,0,0
Total Personnel Expenses,1296842,0,0,0,0,0,0,0
Instructional & Support Staff,976193.67,0,0,0,0,0,0,0
Instructional Supplies,31328,0,0,0,0,0,0,0
Management Fee,568173,0,0,0,0,0,0,0
Unrestricted Net Assets,1065774,1046475,929864,945477,846314,662219,0,0
Unrestricted Cash,838203,570649,367901,442973.71,717440,527551,264182,161766
Principal Payments,109883,0,0,0,6347,6347,6347,6347
Interest Expense,0,0,0,0,362,7752,7752,13374
Lease Payments (Facility),109883,110281,107494,105105,105105,105105,105105,100025
Depreciation Expense,36773,46499,61098,138801,142041,204160,195890,151840
Insurance (Facility),0,0,0,0,0,0,0,0
Electric & Gas,94285,0,0,0,0,0,0,0
Water & Sewage,0,0,0,0,0,0,0,0
Waste Disposal,0,0,0,0,0,0,0,0
Security Services,29637,0,0,0,0,0,0,0
Maintenance/Repair,4467,0,0,0,0,0,0,0
Enrollment Information,0,0,0,0,0,0,0,0
July Estimate,330,0,0,0,0,0,0,0
September Count,325,339,315,315,305,284,286,319
February Count,342,328,0,303,307,329,320,576
ADM Average,333.5,333.5,313.5,309,306,306.5,303,297.5
Audit Information,0,0,0,0,0,0,0,0
Auditor,,Blue & Co,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt
Audit FY,,2020,2019,2018,2017,2016,2015,2014
School effectively established and monitored budgets,,,,,,,,
School implemented appropriate financial polices and procedures,,,,,,,,
School completed timely and accurate financial reporting,,,,,,,,
Audit is free of findings of Material Weakness,,,,,,,,
Audit is free of findings of Significant Deficiency,,,,,,,,
Audit is free of Instances of Noncompliance under GAAS,,,,,,,,
Audit is free of Questioned Costs,,,,,,,,
Audit includes unqualified opinion,,,,,,,,
