Category,2021,2020,2019
Revenue,0,0,0
State Grants,1750870,1743496,0
Federal Grants,68446,283567,0
Total Grants,1819316,2027063,1911273
Other Income,20658,1301645,150000
Financial Position,0,0,0
Total Assets,713492,909640,1278137
Current Assets,316573,291119,452930
Total Liabilities,553215,661874,1314788
Current Liabilities,553215,661874,1314788
Net Asset Position,160277,247766,-36651
Financial Activities,0,0,0
Operating Revenue,1839974,3328708,2061273
Operating Expenses,1927464,3044291,2098222
Change in Net Assets,-87490,284417,-36949
Supplemental Information,0,0,0
Administrative Staff,130220,0,0
Instructional Staff,343713,0,0
Non-Instructional Staff,271444,0,0
Total Personnel Expenses,1050097,0,0
Instructional & Support Staff,794873.53,0,0
Instructional Supplies,20946,0,0
Management Fee,306566,0,0
Unrestricted Net Assets,140277,247766,-36651
Unrestricted Cash,297589,216702,81183
Principal Payments,211219,0,0
Interest Expense,0,0,0
Lease Payments (Facility),211219,211219,211219
Depreciation Expense,221603,217082,205122
Insurance (Facility),0,0,0
Electric & Gas,0,0,0
Water & Sewage,0,0,0
Waste Disposal,0,0,0
Security Services,15357,0,0
Maintenance/Repair,1321,0,0
Enrollment Information,0,0,0
July Estimate,255,0,0
September Count,274,258,245
February Count,244,260,0
ADM Average,259,259,237
Audit Information,0,0,0
Auditor,,Blue & Co,Greenwalt
Audit FY,,2020,2019
School effectively established and monitored budgets,,,
School implemented appropriate financial polices and procedures,,,
School completed timely and accurate financial reporting,,,
Audit is free of findings of Material Weakness,,,
Audit is free of findings of Significant Deficiency,,,
Audit is free of Instances of Noncompliance under GAAS,,,
Audit is free of Questioned Costs,,,
Audit includes unqualified opinion,,,
