Category,2021,2020,2019,2018,2017,2016,2015,2014
Revenue,0,0,0,0,0,0,0,0
State Grants,1420761,1689882,0,0,0,0,0,0
Federal Grants,52555,46486,0,0,0,0,0,0
Total Grants,1473316,1736368,1748102,1936730,1712521,1892360,2129677,2447536
Other Income,29322,1183958,255471,9096,2111,0,0,110
Financial Position,0,0,0,0,0,0,0,0
Total Assets,1335656,1337819,1248739,1218233,1005884,857945,757372,765776
Current Assets,1256406,964596,872117,857497,573449,549981,249044,125574
Total Liabilities,74541,54452,71099,51811,58027,46033,117555,243685
Current Liabilities,74541,54452,71099,51811,58027,46033,117555,243685
Net Asset Position,1261115,1283367,1177640,1166422,947857,811912,639817,522091
Financial Activities,0,0,0,0,0,0,0,0
Operating Revenue,1502638,2920326,2003573,1945826,1714632,1892360,2129677,2447646
Operating Expenses,1524893,2814599,1992355,1727261,1578687,1720265,2011951,1915085
Change in Net Assets,-22255,105727,11218,218565,135945,172095,117726,532561
Supplemental Information,0,0,0,0,0,0,0,0
Administrative Staff,113696,0,0,0,0,0,0,0
Instructional Staff,371648,0,0,0,0,0,0,0
Non-Instructional Staff,240986,0,0,0,0,0,0,0
Total Personnel Expenses,920280,0,0,0,0,0,0,0
Instructional & Support Staff,698554.84,0,0,0,0,0,0,0
Instructional Supplies,16026,0,0,0,0,0,0,0
Management Fee,288434,0,0,0,0,0,0,0
Unrestricted Net Assets,1231115,1253368,1177640,1166422,947857,811912,0,0
Unrestricted Cash,707541,615306,400509,755558,543423,525815,169761,161766
Principal Payments,124500,0,0,0,0,0,0,0
Interest Expense,0,0,0,0,0,0,0,5899
Lease Payments (Facility),124500,110263,123500,143308,149910,149910,149910,135402
Depreciation Expense,33820,46853,57153,143926,145478,205371,191960,161788
Insurance (Facility),0,0,0,0,0,0,0,0
Electric & Gas,0,0,0,0,0,0,0,0
Water & Sewage,0,0,0,0,0,0,0,0
Waste Disposal,0,0,0,0,0,0,0,0
Security Services,15192,0,0,0,0,0,0,0
Maintenance/Repair,17441,0,0,0,0,0,0,0
Enrollment Information,0,0,0,0,0,0,0,0
July Estimate,230,0,0,0,0,0,0,0
September Count,219,252,251,280,282,282,296,321
February Count,202,249,0,248,238,277,289,292
ADM Average,210.5,250.5,267,264,260,279.5,292.5,306.5
Audit Information,0,0,0,0,0,0,0,0
Auditor,,Blue & Co,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt,Greenwalt
Audit FY,,2020,2019,2018,2017,2016,2015,2014
School effectively established and monitored budgets,,,,,,,,
School implemented appropriate financial polices and procedures,,,,,,,,
School completed timely and accurate financial reporting,,,,,,,,
Audit is free of findings of Material Weakness,,,,,,,,
Audit is free of findings of Significant Deficiency,,,,,,,,
Audit is free of Instances of Noncompliance under GAAS,,,,,,,,
Audit is free of Questioned Costs,,,,,,,,
Audit includes unqualified opinion,,,,,,,,
