Category,2021,2020,2019,2018,2017
Revenue,0,0,0,0,0
State Grants,1146872,1086826,0,0,0
Federal Grants,54112,16926,0,0,0
Total Grants,1200984,1103752,1057694,849299,503533
Other Income,15606,610951,115802,86857,100
Financial Position,0,0,0,0,0
Total Assets,376544,328695,265383,169200,168861
Current Assets,326279,277562,183585,54963,17945
Total Liabilities,53495,35196,23918,20506,44018
Current Liabilities,53495,35196,23918,20506,44018
Net Asset Position,323049,293499,241465,148694,124843
Financial Activities,0,0,0,0,0
Operating Revenue,1216590,1714703,1173496,936156,503633
Operating Expenses,1187037,1662669,1080725,940543,723012
Change in Net Assets,29553,52034,92771,-4387,-219379
Supplemental Information,0,0,0,0,0
Administrative Staff,125610,0,0,0,0
Instructional Staff,299731,0,0,0,0
Non-Instructional Staff,82855,0,0,0,0
Total Personnel Expenses,669428,0,0,0,0
Instructional & Support Staff,461332.4,0,0,0,0
Instructional Supplies,68467,0,0,0,0
Management Fee,177204,0,0,0,0
Unrestricted Net Assets,293049,293499,241465,148694,124843
Unrestricted Cash,317771,270538,169530,6366,0
Principal Payments,83364,0,0,0,0
Interest Expense,0,0,0,13589,0
Lease Payments (Facility),83364,83364,83364,83364,61517
Depreciation Expense,40567,36589,41596,43424,41051
Insurance (Facility),0,0,0,0,0
Electric & Gas,25716,0,0,0,0
Water & Sewage,0,0,0,0,0
Waste Disposal,0,0,0,0,0
Security Services,917,0,0,0,0
Maintenance/Repair,4351,0,0,0,0
Enrollment Information,0,0,0,0,0
July Estimate,150,0,0,0,0
September Count,163,155,154,124,84
February Count,176,167,0,115,84
ADM Average,169.5,161,153.5,119.5,84
Audit Information,0,0,0,0,0
Auditor,,Blue & Co,Greenwalt,Greenwalt,Greenwalt
Audit FY,,2020,2019,2018,2017
School effectively established and monitored budgets,,,,,
School implemented appropriate financial polices and procedures,,,,,
School completed timely and accurate financial reporting,,,,,
Audit is free of findings of Material Weakness,,,,,
Audit is free of findings of Significant Deficiency,,,,,
Audit is free of Instances of Noncompliance under GAAS,,,,,
Audit is free of Questioned Costs,,,,,
Audit includes unqualified opinion,,,,,
