Category,2021,2020,2019,2018,2017,2016
Revenue,0,0,0,0,0,0
State Grants,1788041.25,1674574,0,0,0,0
Federal Grants,175348.19,0,0,0,0,0
Total Grants,1963389.44,1674573.75,1687500,1791069,2667864,1732212
Other Income,11907.55,84230.05,59722,238177,444597,537782
Financial Position,0,0,0,0,0,0
Total Assets,1532574.4,1371174,1983862,2070354,2333717,1794147
Current Assets,965335.13,627789,1014448,886940,866614,115126
Total Liabilities,72441.89,238760,709879.98,823916,1036661,1341002
Current Liabilities,72441.89,66407,195962.92,207494,317030,512268
Net Asset Position,1460132.51,1132414,1273982.02,1246438,1297056,453145
Financial Activities,0,0,0,0,0,0
Operating Revenue,1975296.99,1758803.8,1747222,2029246,3112461,2269994
Operating Expenses,1647551.58,1898363,1719455,1909645,2268550,1933868
Change in Net Assets,327745.41,-139559.2,27767,119601,843911,336126
Supplemental Information,0,0,0,0,0,0
Administrative Staff,142767.58,0,0,0,0,0
Instructional Staff,378610.39,0,0,0,0,0
Non-Instructional Staff,283112.42,0,0,0,0,0
Total Personnel Expenses,1057825.37,0,0,0,0,0
Instructional & Support Staff,672536.37,0,0,0,0,0
Instructional Supplies,25451.46,0,0,0,0,0
Management Fee,13290,0,0,0,0,0
Unrestricted Net Assets,1421013.97,1121641,1051077,953046,1006705,137252
Unrestricted Cash,900452.26,608768,949367,768950,744515,89329
Principal Payments,45716.48,0,134861,134188,134188,126843
Interest Expense,845.33,175458,37514,36806,30728,44153
Lease Payments (Facility),45716.48,45716,48351,47907,46000,41061
Depreciation Expense,168784.78,229323,240447.02,299465,286940,207517
Insurance (Facility),15940.95,0,0,0,0,0
Electric & Gas,8948.47,0,0,0,0,0
Water & Sewage,3083.82,0,0,0,0,0
Waste Disposal,2288.83,0,0,0,0,0
Security Services,15290.5,0,0,0,0,0
Maintenance/Repair,8724.16,0,0,0,0,0
Enrollment Information,0,0,0,0,0,0
July Estimate,263,0,0,0,0,0
September Count,268,258,250,248,366,255
February Count,263,239,0,209,285,261
ADM Average,265.5,248.5,211.5,228.5,325.5,258
Audit Information,0,0,0,0,0,0
Auditor,,Kruggel Lawton,Kruggel Lawton,Kruggel Lawton,Kruggel Lawton,Kruggel Lawton
Audit FY,,2020,2019,2018,2017,2016
School effectively established and monitored budgets,,,,,,
School implemented appropriate financial polices and procedures,,,,,,
School completed timely and accurate financial reporting,,,,,,
Audit is free of findings of Material Weakness,,,,,,
Audit is free of findings of Significant Deficiency,,,,,,
Audit is free of Instances of Noncompliance under GAAS,,,,,,
Audit is free of Questioned Costs,,,,,,
Audit includes unqualified opinion,,,,,,
