Category,2021
Revenue,0
State Grants,991630.5
Federal Grants,947955.02
Total Grants,1939585.52
Other Income,-198761.92
Financial Position,0
Total Assets,928463.36
Current Assets,633580.3
Total Liabilities,1599733.52
Current Liabilities,1599733.52
Net Asset Position,-671270.16
Financial Activities,0
Operating Revenue,1740823.6
Operating Expenses,2167036.27
Change in Net Assets,-426212.67
Supplemental Information,0
Administrative Staff,275131.39
Instructional Staff,439383.68
Non-Instructional Staff,125273.2
Total Personnel Expenses,1002911.19
Instructional & Support Staff,589095.99
Instructional Supplies,289522.35
Management Fee,42395.94
Unrestricted Net Assets,-68627.4
Unrestricted Cash,546016.45
Principal Payments,120000
Interest Expense,0
Lease Payments (Facility),120000
Depreciation Expense,14994.06
Insurance (Facility),0
Electric & Gas,6567.1
Water & Sewage,636.14
Waste Disposal,326.44
Security Services,36171.5
Maintenance/Repair,38916.6
Enrollment Information,0
July Estimate,140
September Count,102
February Count,91
ADM Average,96.5
Audit Information,0
Auditor,
Audit FY,
School effectively established and monitored budgets,
School implemented appropriate financial polices and procedures,
School completed timely and accurate financial reporting,
Audit is free of findings of Material Weakness,
Audit is free of findings of Significant Deficiency,
Audit is free of Instances of Noncompliance under GAAS,
Audit is free of Questioned Costs,
Audit includes unqualified opinion,
