Category,2023 (Q2),2022,2021,2020,2019
Revenue,0.0,0,0,0,0
State Grants,828305.35,1354107,2105072,2563023,2641504
Federal Grants,132184.96000000002,581838,367682,295008,560111
Total Grants,960490.31,1935945,2472754,2858041,3201615.46
Contributions and Donations,5.41,0,0,0,0
Student Fees,0.0,0,0,0,0
Other Income,0.0,150923,514405,240930,78089
Financial Position,0.0,0,0,0,0
Total Assets,1603246.0,1377497,2018038,2015890,1803464
Current Assets,862696.0,831879,2018038,2015890,1803464
Total Liabilities,443334.0,247742,271942,262583,327856
Current Liabilities,135141.0,157284,271942,262583,327856
Net Asset Position,1159912.0,1129754,1746096,1753307,1475608
Financial Activities,0.0,0,0,0,0
Operating Revenues,960495.7200000001,2086868,2987159,3098971,3279704
Operating Expenses,1012803.8899999999,2703607,2994370,2821272,2521340
Change in Net Assets,-52308.16999999981,-616739,-7211,277699,758364
Supplemental Information,0.0,0,0,0,0
Administrative Staff,87152.05,286511.35,0,0,0
Instructional Staff,160898.81999999998,424576.6,0,0,0
Non-Instructional Staff,107864.14,228589.54,0,0,0
Total Personnel Expenses,517840.3999999999,1302832,0,0,0
Instructional and Support Staff,218579.43,537077.11,0,0,0
Instructional Supplies,105736.36,357236.65,0,0,0
Management Fee,108909.76,264654,0,0,0
Unrestricted Net Assets,715083.0,1881652,1746096,1753307,1475608
Unrestricted Cash,715083.0,694425,1250382,1189257,647799
Principal Payments,0.0,15000,0,0,0
Interest Expense,200.01,2008,0,0,0
Lease/Mortgage Payments,32642.0,65463,244416,214356,180198
Depreciation/Amortization,60636.51,127201.11,187535,187408,187015
Insurance (Facility),36652.979999999996,27252,0,0,0
Electric and Gas,26818.75,56686,0,0,0
Water and Sewer,1657.55,3619,0,0,0
Waste Disposal,465.81,768,0,0,0
Security Services,594.0,699,0,0,0
Repair and Maintenance,14629.06,54470,0,0,0
Enrollment Information,0.0,0,0,0,0
September ADM,,175.0,277.0,332.0,391.0
February ADM,,158.0,265.0,329.0,347.0
ADM Average,,166.5,271.0,330.5,369.0
Audit Information,,0,0,0,0
Auditor,,,Crowe,Crowe,Crowe
Audit FY,,,2021,2020,2019
2.1.a|The school effectively established and monitored budgets.,,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS,MS,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS,MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS,MS,MS,MS
3.5|The school protected the rights of students.,,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS,MS,DNMS,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS,MS,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS,MS,MS,MS
Audit is free of findings of material weakness,,,,,
Audit is free of findings of significant deficiency,,,,,
Audit is free of instances of noncompliance under GAAS,,,,,
Audit is free of questioned costs,,,,,
Audit includes an unqualified opinion,,,,,
Notes,,,,,
