Category,2021,2020,2019,2018,2017
Revenue,0,0,0,0,0
State Grants,1811657.03,1752272,1165789,0,0
Federal Grants,546014.15,700808,473762,0,0
Total Grants,2357671.18,2453080,1639551,2003191,1280859
Other Income,166648.01,8926,4106,22098,18687
Financial Position,0,0,0,0,0
Total Assets,455346,501470,534611,665713,511589
Current Assets,387048,315584,279943,302274,136329
Total Liabilities,737991,906858,945480,1046165,1083525
Current Liabilities,87991,256858,195480,196165,133525
Net Asset Position,-282645,-405388,-410869,-380452,-571936
Financial Activities,0,0,0,0,0
Operating Revenue,2524319.19,2462006,1643657,2025289,1299546
Operating Expenses,2401578.18,2456525,1674074,1833805,1872205
Change in Net Assets,122741.01,5481,-30417,191484,-572659
Supplemental Information,0,0,0,0,0
Administrative Staff,149035.9,0,0,0,0
Instructional Staff,768977.72,0,0,0,0
Non-Instructional Staff,184096.22,0,0,0,0
Total Personnel Expenses,1249954.93,0,0,0,0
Instructional & Support Staff,879861.54,0,0,0,0
Instructional Supplies,110608.48,0,0,0,0
Management Fee,323911.57,0,0,0,0
Unrestricted Net Assets,-282645,-405388,-410869,-380452,-571936
Unrestricted Cash,363222,266733,188521,285313.18,103652
Principal Payments,88891.8,100000,100000,100000,50000
Interest Expense,3008.4,8250,9250,13589,0
Lease Payments (Facility),88891.8,193663,160852,165381,192476
Depreciation Expense,28790.1,125482,114082,101697,65236
Insurance (Facility),0,0,0,0,0
Electric & Gas,56494.09,0,0,0,0
Water & Sewage,3942.06,0,0,0,0
Waste Disposal,4140,0,0,0,0
Security Services,0,0,0,0,0
Maintenance/Repair,36706.83,0,0,0,0
Enrollment Information,0,0,0,0,0
July Estimate,250,0,0,0,0
September Count,198,251,161,227,150
February Count,200,209,0,189,177
ADM Average,199,230,227,208,163.5
Audit Information,0,0,0,0,0
Auditor,,Donovan,Donovan,Donovan,Donovan
Audit FY,,2020,2019,2018,2017
School effectively established and monitored budgets,Y,Y,Y,N,N
School implemented appropriate financial polices and procedures,Y,Y,Y,N,N
School completed timely and accurate financial reporting,Y,Y,Y,N,N
Audit is free of findings of Material Weakness,Y,Y,Y,N,N
Audit is free of findings of Significant Deficiency,Y,Y,Y,N,N
Audit is free of Instances of Noncompliance under GAAS,Y,Y,Y,N,N
Audit is free of Questioned Costs,Y,Y,Y,N,N
Audit includes unqualified opinion,Y,Y,Y,N,N
