Category,2021
Revenue,0
State Grants,2989523.73
Federal Grants,578988.34
Total Grants,3568512.07
Other Income,350
Financial Position,0
Total Assets,729121
Current Assets,685668
Total Liabilities,953287
Current Liabilities,953287
Net Asset Position,-224166
Financial Activities,0
Operating Revenue,3568862.07
Operating Expenses,3793028.78
Change in Net Assets,-224166.71
Supplemental Information,0
Administrative Staff,285927.95
Instructional Staff,1591619.42
Non-Instructional Staff,237839.32
Total Personnel Expenses,2635675.41
Instructional & Support Staff,2034828.33
Instructional Supplies,187674.97
Management Fee,0
Unrestricted Net Assets,-224166
Unrestricted Cash,551076
Principal Payments,221507.64
Interest Expense,0
Lease Payments (Facility),221507.64
Depreciation Expense,2946.67
Insurance (Facility),45764.78
Electric & Gas,81955.93
Water & Sewage,4671.91
Waste Disposal,3653.72
Security Services,5594.27
Maintenance/Repair,26539.55
Enrollment Information,0
July Estimate,320
September Count,335
February Count,325
ADM Average,330
Audit Information,0
Auditor,
Audit FY,
School effectively established and monitored budgets,
School implemented appropriate financial polices and procedures,
School completed timely and accurate financial reporting,
Audit is free of findings of Material Weakness,
Audit is free of findings of Significant Deficiency,
Audit is free of Instances of Noncompliance under GAAS,
Audit is free of Questioned Costs,
Audit includes unqualified opinion,
