Category,2021,2020,2019,2018
Revenue,0,0,0,0
State Grants,2519853,0,0,0
Federal Grants,1415069.13,0,0,0
Total Grants,3934922.13,5155063,6144634,1237237
Other Income,542864.19,319927,9172,48577
Financial Position,0,0,0,0
Total Assets,6147458,5440673,4404552,1269939
Current Assets,2064270,2499317,3182424,138235
Total Liabilities,5798747,5275003,3481250,2147137
Current Liabilities,4072556,3992259,3481250,2147137
Net Asset Position,348711,165670,923302,-877198
Financial Activities,0,0,0,0
Operating Revenue,4477786.32,5474990,6153806,1285814
Operating Expenses,4294743.99,6232622,4353306,2658387
Change in Net Assets,183042.33,-757632,1800500,-1372573
Supplemental Information,0,0,0,0
Administrative Staff,350718.47,0,0,0
Instructional Staff,1429351.91,0,0,0
Non-Instructional Staff,140647.24,0,0,0
Total Personnel Expenses,2525629.62,0,0,0
Instructional & Support Staff,1832626.58,0,0,0
Instructional Supplies,95883.54,0,0,0
Management Fee,0,0,0,0s
Unrestricted Net Assets,-2532339,-1118013,-1957748,-877198
Unrestricted Cash,995356,1542618.23,91473,16086
Principal Payments,203387.37,0,0,0
Interest Expense,0,0,0,0
Lease Payments (Facility),203387.37,415066.34,377418,259682.78
Depreciation Expense,123165.78,207939.77,136194,36269
Insurance (Facility),31703.3,53481,0,0
Electric & Gas,75708.82,105614,0,0
Water & Sewage,6967.37,105614,0,0
Waste Disposal,2843.65,608,0,0
Security Services,32914.99,32381,0,0
Maintenance/Repair,33985.83,30979,0,0
Enrollment Information,0,0,0,0
July Estimate,250,0,0,0
September Count,279,468,260,120
February Count,268,430,0,115
ADM Average,273.5,449,259,117.5
Audit Information,0,0,0,0
Auditor,,CLA LLP,CLA LLP,CLA LLP
Audit FY,,2020,2019,2018
School effectively established and monitored budgets,,,,
School implemented appropriate financial polices and procedures,,,,
School completed timely and accurate financial reporting,,,,
Audit is free of findings of Material Weakness,,,,
Audit is free of findings of Significant Deficiency,,,,
Audit is free of Instances of Noncompliance under GAAS,,,,
Audit is free of Questioned Costs,,,,
Audit includes unqualified opinion,,,,
