Category,2022,2021
Revenue,0,0
State Grants,4052577.06,2956381
Federal Grants,1276204.33,578988
Total Grants,5328781.39,3535369
Contributions and Donations,101000,350
Student Fees,0,0
Other Income,0,33143
Financial Position,0,0
Total Assets,369899,882122
Current Assets,314492,838668
Total Liabilities,876695,1105906
Current Liabilities,876695,1105906
Net Asset Position,-506796,-223784
Financial Activities,0,0
Operating Revenues,5429781.39,3568862
Operating Expenses,5712792.21,3792647
Change in Net Assets,-283010.82,-223784
Supplemental Information,0,0
Administrative Staff,478123.9,0
Instructional Staff,1598535.99,0
Non-Instructional Staff,216142.03,0
Total Personnel Expenses,2905310.4,0
Instructional and Support Staff,1598535.99,0
Instructional Supplies,601205.52,0
Management Fee,306387.16,0
Unrestricted Net Assets,-506796,-223784
Unrestricted Cash,146906,554076
Principal Payments,0,0
Interest Expense,0,0
Lease/Mortgage Payments,315714.6,230797
Depreciation/Amortization,12546.6,2946
Insurance (Facility),85794.99,0
Electric and Gas,106325.02,0
Water and Sewer,4671.84,0
Waste Disposal,3653.64,0
Security Services,65171.72,0
Repair and Maintenance,140738.08,0
Enrollment Information,0,0
September Count,393,335
February Count,406,325
ADM Average,399.5,330
Audit Information,,0
Auditor,,CLA
Audit FY,,2021
2.1.a|The school effectively established and monitored budgets.,,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS
2.1.c|The school completed timely and accurate financial reporting.,,MS
2.1.d|The school complied with state audit requirements.,,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS
3.2|The school followed appropriate and lawful student discipline processes,,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS
3.5|The school protected the rights of students.,,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS
Audit is free of findings of material weakness,,
Audit is free of findings of significant deficiency,,
Audit is free of instances of noncompliance under GAAS,,
Audit is free of questioned costs,,
Audit includes an unqualified opinion,,
Notes,,
