Category,2023 (Q2),2022,2021,2020,2019,2018
Revenue,0.0,0,0,0,0,0
State Grants,1455467.5499999998,2329295.62,2489614,3981830,5583012,999789
Federal Grants,1002885.6699999999,1435006.93,1665480,1173233,561624,237447
Total Grants,2458353.2199999997,3764302.55,4155094,5155063,6144636,1237236
Contributions and Donations,2500.0,300757.87,3500,275000,1500,45000
Student Fees,0.0,0,0,0,0,0
Other Income,0.0,653.45,34618,44927,7672,3577
Financial Position,0.0,0,0,0,0,0
Total Assets,5428506.0,5562141,7017734,5440673,4404552,1269939
Current Assets,1199865.0,1259442,2197128,2499317,3182424,138235
Total Liabilities,6589027.0,6660332,6872767,5275003,3481250,2147137
Current Liabilities,5084398.0,5080370,5292805,3992259,3481250,2147137
Net Asset Position,-1160521.0,-1098191,144967,165670,923302,-877198
Financial Activities,0.0,0,0,0,0,0
Operating Revenues,2460856.65,4065713.87,4193212,5474990,6153808,1285812
Operating Expenses,2477907.64,5308868.32,4213913,6232622,4353306,2658387
Change in Net Assets,-17050.990000000224,-1243154.45,-20703,-757632,1800500,-1372573
Supplemental Information,0.0,0,0,0,0,0
Administrative Staff,310793.14,558018.87,0,0,0,0
Instructional Staff,692804.1599999999,1467412.49,0,0,0,0
Non-Instructional Staff,71105.2,100335.05,0,0,0,0
Total Personnel Expenses,1434989.54,2731830.39,0,0,0,0
Instructional and Support Staff,692804.1599999999,1467412.49,0,0,0,0
Instructional Supplies,244133.37999999998,604746.37,0,0,0,0
Management Fee,0.0,233918.21,0,0,0,0
Unrestricted Net Assets,153221.0,-1098191,139348,-1118013,-1957748,-877198
Unrestricted Cash,153221.0,304145,1059655,1542618.23,91473,16086
Principal Payments,33522.0,67044,0,0,0,0
Interest Expense,0.0,0,47364,0,0,0
Lease/Mortgage Payments,108726.08,102914.4,193767,415066,365190,252637
Depreciation/Amortization,101658.31,156892.02,190209,207940,136194,36269
Insurance (Facility),207860.12000000002,5044.33,0,0,0,0
Electric and Gas,36372.18,79064.72,0,0,0,0
Water and Sewer,4620.21,10017.82,0,0,0,0
Waste Disposal,3358.78,5257.68,0,0,0,0
Security Services,-16053.039999999999,97365.93,0,0,0,0
Repair and Maintenance,30684.650000000005,125839.57,0,0,0,0
Enrollment Information,0.0,0,0,0,0,0
September ADM,,239.0,278.0,468.0,260.0,120.0
February ADM,,235.0,268.0,430.0,258.0,125.0
ADM Average,,237.0,273.0,449.0,259.0,122.5
Audit Information,,,0,0,0,0
Auditor,,,CLA,CLA,CLA,CLA
Audit FY,,,2021,2020,2019,2018
2.1.a|The school effectively established and monitored budgets.,,MS,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS,MS,MS,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,,MS,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,,MS,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS,MS,MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,,MS,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS,MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS,MS,MS,MS,MS
3.5|The school protected the rights of students.,,MS,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS,MS,MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS,MS,MS,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS,MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS,MS,MS,MS,MS
Audit is free of findings of material weakness,,,,,,
Audit is free of findings of significant deficiency,,,,,,
Audit is free of instances of noncompliance under GAAS,,,,,,
Audit is free of questioned costs,,,,,,
Audit includes an unqualified opinion,,,,,,
Notes,,,,,,
