Category,2021
Revenue,0
State Grants,3905756.08
Federal Grants,947041.65
Total Grants,4852797.73
Other Income,3476127.91
Financial Position,0
Total Assets,586359
Current Assets,530574
Total Liabilities,-3423428
Current Liabilities,-3423428
Net Asset Position,4009787
Financial Activities,0
Operating Revenue,8328925.64
Operating Expenses,8064253.82
Change in Net Assets,264671.82
Supplemental Information,0
Administrative Staff,532844.72
Instructional Staff,2418811.48
Non-Instructional Staff,207723.35
Total Personnel Expenses,4020481.93
Instructional & Support Staff,3114317.25
Instructional Supplies,650265.15
Management Fee,120660
Unrestricted Net Assets,4009787
Unrestricted Cash,225507
Principal Payments,934776.05
Interest Expense,5891.03
Lease Payments (Facility),934776.05
Depreciation Expense,71523.75
Insurance (Facility),73654.32
Electric & Gas,117556.79
Water & Sewage,0
Waste Disposal,746.8
Security Services,55645.98
Maintenance/Repair,77431.42
Enrollment Information,0
July Estimate,500
September Count,449
February Count,490
ADM Average,469.5
Audit Information,0
Auditor,
Audit FY,
School effectively established and monitored budgets,
School implemented appropriate financial polices and procedures,
School completed timely and accurate financial reporting,
Audit is free of findings of Material Weakness,
Audit is free of findings of Significant Deficiency,
Audit is free of Instances of Noncompliance under GAAS,
Audit is free of Questioned Costs,
Audit includes unqualified opinion,
