Category,2022,2021,2020,2019,2018
Revenue,0,0,0,0,0
State Grants,0,18884095.65,15434915.53,14537992.96,10105642.79
Federal Grants,0,8956541.3,3024160.11,1916407.71,1836362.79
Total Grants,0,27840636.95,18459075.64,16454400.67,11942005.58
Contributions and Donations,0,5336365.46,3823450.63,4916450.1,3755595.15
Student Fees,0,0,0,0,0
Other Income,0,1692021.24,1641387,1441051,1951104.47
Financial Position,0,0,0,0,0
Total Assets,0,19837313,16093427,12354812,10378880
Current Assets,0,9165597,6942436,4498584,2245536
Total Liabilities,0,10703678,9442477,5870704,6211829
Current Liabilities,0,4910479,2336502,631597,790045
Net Asset Position,0,9133635,6650950,6484108,4167051
Financial Activities,0,0,0,0,0
Operating Revenues,0,34869024,23923915,22811903,17648629
Operating Expenses,0,32386339,23757073,20494846,18152444
Change in Net Assets,0,2482685,166842,2317057,-503815
Supplemental Information,0,0,0,0,0
Administrative Staff,0,0,0,0,0
Instructional Staff,0,0,0,0,0
Non-Instructional Staff,0,0,0,0,0
Total Personnel Expenses,0,0,0,0,0
Instructional and Support Staff,0,0,0,0,0
Instructional Supplies,0,0,0,0,0
Management Fee,0,0,0,0,0
Unrestricted Net Assets,0,9128016,5367267,3603058,4155173
Unrestricted Cash,0,3988002,5392461,3506783,893808
Principal Payments,0,359019,183528,162413,181810
Interest Expense,0,270202,231484,244818,236052
Lease/Mortgage Payments,0,2822613,2163282,2067437,283994
Depreciation/Amortization,0,595133,698815,686868,639594
Insurance (Facility),0,0,0,0,0
Electric and Gas,0,0,0,0,0
Water and Sewer,0,0,0,0,0
Waste Disposal,0,0,0,0,0
Security Services,0,0,0,0,0
Repair and Maintenance,0,0,0,0,0
Enrollment Information,0,0,0,0,0
September Count,0,0,0,0,0
February Count,0,0,0,0,0
ADM Average,2051,2040.5,1735.5,473,382
Audit Information,,0,0,0,0
Auditor,,,CLA,CLA,CLA
Audit FY,,2021,2020,2019,2018
