Category,2022,2021,2020
Revenue,0,0,0
State Grants,4759256.9,3852018,4360806
Federal Grants,2159047.87,1570603,75314
Total Grants,6918304.77,5423621,4436121
Contributions and Donations,501,1288983,2168259
Student Fees,0,0,0
Other Income,2158248.65,271081,0
Financial Position,0,0,0
Total Assets,474857,5405941,4422364
Current Assets,459841,5350155,4295055
Total Liabilities,-4884109,1346227,677250
Current Liabilities,-4884109,1346227,131943
Net Asset Position,5358966,4059714,3745114
Financial Activities,0,0,0
Operating Revenues,9077054.42,6983686,6604380
Operating Expenses,7777802.18,6669087,5993424
Change in Net Assets,1299252.24,314600,610957
Supplemental Information,0,0,0
Administrative Staff,337046.34,0,0
Instructional Staff,2472087.08,0,0
Non-Instructional Staff,78948.43,0,0
Total Personnel Expenses,3711829.63,0,0
Instructional and Support Staff,2472087.08,0,0
Instructional Supplies,335636.8,0,0
Management Fee,134320,0,0
Unrestricted Net Assets,5358966,4059714,3745114
Unrestricted Cash,112611,227623,1821920
Principal Payments,0,0,0
Interest Expense,0,5895,0
Lease/Mortgage Payments,882237.73,969802,882240
Depreciation/Amortization,40769.19,71523,88591
Insurance (Facility),50809.23,0,0
Electric and Gas,91731.62,0,0
Water and Sewer,0,0,0
Waste Disposal,0,0,0
Security Services,60555.36,0,0
Repair and Maintenance,69402.43,0,0
Enrollment Information,0,0,0
September ADM,471.0,448.0,484.0
February ADM,481.0,490.0,484.0
ADM Average,476.0,469.0,484.0
Audit Information,,0,0
Auditor,,CLA,CLA
Audit FY,,2021,2020
2.1.a|The school effectively established and monitored budgets.,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,MS,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,MS,MS,MS
2.1.d|The school complied with state audit requirements.,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",MS,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",MS,MS,MS
3.5|The school protected the rights of students.,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,MS,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",MS,MS,MS
Audit is free of findings of material weakness,,,
Audit is free of findings of significant deficiency,,,
Audit is free of instances of noncompliance under GAAS,,,
Audit is free of questioned costs,,,
Audit includes an unqualified opinion,,,
Notes,,"Total Grants represent passthrough amounts in accordance with IPS Innovation Agreement. Contributions include in-kind contributions from IPS for facilities, utilities, maintenance, personnel, transportation, and support services. 2022 Total Liabilities includes large amount owed to related party management company.",
