Category,2023 (Q2),2022,2021
Revenue,0.0,0,0
State Grants,1492157.74,2731447.61,1868372
Federal Grants,463561.25,1878033.73,805718
Total Grants,1955718.99,4609481.34,2674090
Contributions and Donations,0.0,0,1222084
Student Fees,0.0,0,0
Other Income,322002.0,644004,31424
Financial Position,0.0,0,0
Total Assets,226019.0,634648,797447
Current Assets,226019.0,634648,797447
Total Liabilities,164416.0,508467,925636
Current Liabilities,164416.0,508467,925636
Net Asset Position,61603.0,126181,-128189
Financial Activities,0.0,0,0
Operating Revenues,2277720.99,5253485.34,3927598
Operating Expenses,2342298.8000000003,4999114.99,4039407
Change in Net Assets,-64577.810000000056,254370.35,-111807
Supplemental Information,0.0,0,0
Administrative Staff,150410.33000000002,271327.64,0
Instructional Staff,754061.86,1603921.66,0
Non-Instructional Staff,174774.58000000002,295893.46,0
Total Personnel Expenses,1392407.37,2773131.92,0
Instructional and Support Staff,754061.86,1603921.66,0
Instructional Supplies,247128.68,806462.86,0
Management Fee,0.0,166006.07,0
Unrestricted Net Assets,127581.0,126181,-128189
Unrestricted Cash,127581.0,444472,417203
Principal Payments,0.0,0,0
Interest Expense,0.0,0,0
Lease/Mortgage Payments,250614.0,501228,501225
Depreciation/Amortization,0.0,0,0
Insurance (Facility),184942.3,40030.14,0
Electric and Gas,0.0,0,0
Water and Sewer,0.0,0,0
Waste Disposal,0.0,0,0
Security Services,0.0,0,0
Repair and Maintenance,0.0,0,0
Enrollment Information,0.0,0,0
September ADM,,302.0,211.0
February ADM,,271.0,235.0
ADM Average,,286.5,223.0
Audit Information,,,0
Auditor,,,CLA
Audit FY,,,2021
2.1.a|The school effectively established and monitored budgets.,,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS,MS
2.1.c|The school completed timely and accurate financial reporting.,,MS,MS
2.1.d|The school complied with state audit requirements.,,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS,MS
3.2|The school followed appropriate and lawful student discipline processes,,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS,MS
3.5|The school protected the rights of students.,,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS,MS
Audit is free of findings of material weakness,,,
Audit is free of findings of significant deficiency,,,
Audit is free of instances of noncompliance under GAAS,,,
Audit is free of questioned costs,,,
Audit includes an unqualified opinion,,,
Notes,,,"Total Grants represent passthrough amounts in accordance with IPS Innovation Agreement. Contributions include in-kind contributions from IPS for facilities, utilities, maintenance, personnel, transportation, and support services."
