Category,2021
Revenue,0
State Grants,313379.01
Federal Grants,175871.3
Total Grants,489250.31
Other Income,487440.44
Financial Position,0
Total Assets,-216464.07
Current Assets,-394120.38
Total Liabilities,54336.14
Current Liabilities,54336.14
Net Asset Position,-270800.21
Financial Activities,0
Operating Revenue,976690.75
Operating Expenses,1196742.72
Change in Net Assets,-220051.97
Supplemental Information,0
Administrative Staff,203698.39
Instructional Staff,303899.61
Non-Instructional Staff,55292.39
Total Personnel Expenses,705435.26
Instructional & Support Staff,389426.53
Instructional Supplies,250227.89
Management Fee,0
Unrestricted Net Assets,-270800.21
Unrestricted Cash,-573037.17
Principal Payments,73299.59
Interest Expense,0
Lease Payments (Facility),73299.59
Depreciation Expense,39305.52
Insurance (Facility),0
Electric & Gas,0
Water & Sewage,0
Waste Disposal,0
Security Services,0
Maintenance/Repair,940.34
Enrollment Information,0
July Estimate,60
September Count,28
February Count,38
ADM Average,33
Audit Information,0
Auditor,
Audit FY,
School effectively established and monitored budgets,
School implemented appropriate financial polices and procedures,
School completed timely and accurate financial reporting,
Audit is free of findings of Material Weakness,
Audit is free of findings of Significant Deficiency,
Audit is free of Instances of Noncompliance under GAAS,
Audit is free of Questioned Costs,
Audit includes unqualified opinion,
