Category,2022,2021
Revenue,0,0
State Grants,969527.8,313379.01
Federal Grants,-6911.56,175927
Total Grants,962616.24,489306.01
Contributions and Donations,366820,486460
Student Fees,693,0
Other Income,6023.48,981
Financial Position,0,0
Total Assets,-440992,-216408
Current Assets,-645602,-394065
Total Liabilities,92583,54336
Current Liabilities,92583,54336
Net Asset Position,-520904,-270744
Financial Activities,0,0
Operating Revenues,1336152.72,976747
Operating Expenses,1817628.93,1196740
Change in Net Assets,-481476.21,-219993
Supplemental Information,0,0
Administrative Staff,217597.31,0
Instructional Staff,491678.85,0
Non-Instructional Staff,38.74,0
Total Personnel Expenses,1025415.72,0
Instructional and Support Staff,552975.6,0
Instructional Supplies,143770.45,0
Management Fee,81343.58,0
Unrestricted Net Assets,-502904,-283544
Unrestricted Cash,-604804,-573038
Principal Payments,0,0
Interest Expense,0,0
Lease/Mortgage Payments,165860.69,86386
Depreciation/Amortization,51582,39306
Insurance (Facility),0,0
Electric and Gas,0,0
Water and Sewer,0,0
Waste Disposal,0,0
Security Services,769.16,0
Repair and Maintenance,146873.8,0
Enrollment Information,0,0
September Count,97,28
February Count,,38
ADM Average,,33
Audit Information,,0
Auditor,,Greenwalt
Audit FY,,2021
2.1.a|The school effectively established and monitored budgets.,,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS
2.1.c|The school completed timely and accurate financial reporting.,,MS
2.1.d|The school complied with state audit requirements.,,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS
3.2|The school followed appropriate and lawful student discipline processes,,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS
3.5|The school protected the rights of students.,,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS
Audit is free of findings of material weakness,,
Audit is free of findings of significant deficiency,,
Audit is free of instances of noncompliance under GAAS,,
Audit is free of questioned costs,,
Audit includes an unqualified opinion,,
Notes,,
