Category,2023 (Q2),2022,2021,2020,2019
Revenue,0.0,0,0,0,0
State Grants,397892.57,880273.49,798578,704079,487490
Federal Grants,322666.68,636822.06,266651,345554,534597
Total Grants,720559.25,1517095.55,1192116.48,1049633,1022087
Contributions and Donations,27412.99,8645.44,254073,25852,5089
Student Fees,135.0,0,0,0,0
Other Income,1129.45,4155.76,3983,19513,7190
Financial Position,0.0,0,0,0,0
Total Assets,66166.79,61191,89767,162556,182402
Current Assets,40618.28,24793,34060,76907,79939
Total Liabilities,305385.55,298141,350292,449944,279538
Current Liabilities,305385.55,298141,344588,413008,279538
Net Asset Position,-239218.76,-236950,-260525,-287388,-97136
Financial Activities,0.0,0,0,0,0
Operating Revenues,749281.77,1529896.75,1325646,1094998,1034366
Operating Expenses,769453.4000000001,1506322.63,1303615,1285250,1239036
Change in Net Assets,-20171.63000000012,23574.12,22031,-190252,-204670
Supplemental Information,0.0,0,0,0,0
Administrative Staff,71005.1,195788.73,0,0,0
Instructional Staff,190711.12,417308.18,0,0,0
Non-Instructional Staff,0.0,0,0,0,0
Total Personnel Expenses,304489.63,743924.18,0,0,0
Instructional and Support Staff,190711.12,417308.18,0,0,0
Instructional Supplies,56347.020000000004,113800.81,0,0,0
Management Fee,0.0,0,0,0,0
Unrestricted Net Assets,11474.51,-241782,-265357,-287388,-97136
Unrestricted Cash,11474.51,9757.74,29042,35062,22400
Principal Payments,0.0,0,33887,7527,0
Interest Expense,20499.690000000002,30398,24480,34843,5638
Lease/Mortgage Payments,38000.0,90884.6,109892,268755,284834
Depreciation/Amortization,10849.45,22647.85,29942,49646,37971
Insurance (Facility),12426.240000000002,27730.25,7862.6,19583,8104
Electric and Gas,0.0,0,0,0,0
Water and Sewer,0.0,0,0,0,0
Waste Disposal,1081.57,2018.85,0,0,0
Security Services,0.0,0,0,0,0
Repair and Maintenance,0.0,719.63,0,0,0
Enrollment Information,0.0,0,0,0,0
September ADM,,89.0,87.0,76.0,61.0
February ADM,,97.0,92.0,79.0,43.0
ADM Average,,93.0,89.5,77.5,52.0
Audit Information,,,0,0,0
Auditor,,,Greenwalt,Greenwalt,Greenwalt
Audit FY,,,2021,2020,2019
2.1.a|The school effectively established and monitored budgets.,,MS,MS,MS,MS
2.1.b|The school implemented appropriate financial policies and practices.,,MS,MS,DNMS,DNMS
2.1.c|The school completed timely and accurate financial reporting.,,MS,MS,MS,MS
2.1.d|The school complied with state audit requirements.,,MS,MS,MS,MS
"3.1|The school conducted lawful, unbiased admissions and enrollment processes including conducting appropriate randomized lotteries where required.",,MS,MS,MS,DNMS
3.2|The school followed appropriate and lawful student discipline processes,,MS,MS,MS,MS
"3.3|The school followed all applicable laws, rules and regulations (including the Individuals with Disabilities Education Act, Section 504 of the Rehabilitation Act of 1973, and the Americans with Disabilities Act, and Article 7) and all relevant provisions of the charter agreement with respect to the rights of students with disabilities",,MS,MS,MS,MS
"3.4|The school followed all applicable laws, rules, regulations (including Title III of the Elementary and Secondary Education Act (ESEA), as amended by the Every Student Succeeds Act of 2015 (ESSA) and US Department of Education authorities) and all relevant provisions of the charter agreement with respect to the rights of English Language Learner (ELL) students",,MS,MS,MS,MS
3.5|The school protected the rights of students.,,MS,MS,MS,MS
"3.6|The organizer complied with applicable laws, rules and regulations, and all relevant provisions of the charter agreement relating to governance of the school.",,MS,MS,MS,MS
3.7|The school met ICSB and IDOE reporting requirements.,,MS,MS,MS,DNMS
"3.8|The school complied with applicable laws, rules and regulations, and relevant provisions of the charter agreement relating to safety, security, and health related services.",,MS,MS,MS,MS
"3.9|The school complied with all other applicable laws, rules and regulations, and the provisions of the charter.",,MS,MS,MS,MS
Audit is free of findings of material weakness,,,,,
Audit is free of findings of significant deficiency,,,,,
Audit is free of instances of noncompliance under GAAS,,,,,
Audit is free of questioned costs,,,,,
Audit includes an unqualified opinion,,,,,
Notes,,,,,
