Corp,Name,2016 September ADM,2016 February ADM,2017 September ADM,2017 February ADM,2018 September ADM,2018 February ADM,2019 September ADM,2019 February ADM,2020 Sept 2019 NonVirtual ADM,2020 Sept 2019 Virtual ADM,2020 September ADM,2020 Feb 2020 NonVirtual ADM,2020 Feb 2020 Virtual ADM,2020 February ADM,2021 Sept 2020 NonVirtual ADM ,2021 Sept 2020 Virtual ADM,2021 September ADM,2021 Feb 2021 NonVirtual ADM,2021 Feb 2021 Virtual ADM,2021 February ADM,2022 Sept 2021 NonVirtual ADM,2022 Sept 2021 Virtual ADM,2022 September ADM,2022 Feb 2022 NonVirtual ADM,2022 Feb 2022 Virtual ADM,2022 February ADM
15,Adams Central Community Schools,1236,1234,1257.5,1237.1,1279,1273,1292,1284,1280,0,1280,1271,0,1271,1289,0,1289,1272,0,1272,1262,0,1262,1245,0,1245
25,North Adams Community Schools,1785,1778,1759.5,1740.5,1721,1717,1711,1679,1679,0,1679,1654,0,1654,1597,1,1598,1565,0,1565,1575,0,1575,1557,0,1557
35,South Adams Schools,1254.9,1209.41,1285.52,1234.39,1223.79,1177.66,1209.39,1163,1254,1,1255,1223,1,1224,1201.5,0,1201.5,1196.54,0,1196.54,1244.92,0,1244.92,1227.92,0,1227.92
125,M S D Southwest Allen County Schools,7056,7012,7166,7152.5,7341,7325,7425.5,7422.49,7620.49,0,7620.49,7605.49,0,7605.49,7656,3,7659,7624,1,7625,7684,91,7775,7639,108,7747
225,Northwest Allen County Schools,7124.96,7090.96,7341.98,7295.98,7540.96,7537.96,7687.47,7638,7821.47,0,7821.47,7791.47,0,7791.47,7828.47,4,7832.47,7854.47,3,7857.47,7828,91,7919,7811,104,7915
235,Fort Wayne Community Schools,28603.88,28392.4,28505.32,28442.84,28590.32,28601.32,28537.2,28341.2,28538.92,0,28538.92,28261.44,0,28261.44,27704.6,49,27753.6,27617.6,25,27642.6,27590.82,304,27894.82,27296.09,278,27574.09
255,East Allen County Schools,9347.16,9306.14,9451.62,9425.39,9687.88,9593.04,9796.74,9716.75,9862.39,0,9862.39,9764.96,0,9764.96,9742.53,5,9747.53,9629.75,5,9634.75,9996.13,0,9996.13,9894.26,0,9894.26
365,Bartholomew Con School Corp,11250.64,11164.54,11250.7,11201.54,11308.86,11202.88,11322.3,11213.46,11251.44,24,11275.44,11068.35,54,11122.35,11272.16,35,11307.16,11159.6,28,11187.6,11010.37,423,11433.37,10727.41,546,11273.41
370,Flat Rock-Hawcreek School Corp,840,842,858,861,884,874,903,899,942,0,942,951,0,951,983,0,983,963,0,963,968,0,968,955,14,969
395,Benton Community School Corp,1856,1824.01,1862,1829,1831,1796,1755,1723,1718,0,1718,1711,0,1711,1619.01,1,1620.01,1624,2,1626,1612,1,1613,1587,13,1600
515,Blackford County Schools,1730,1727,1696,1702,1665,1634.11,1578.09,1582.46,1564.19,0,1564.19,1571.19,0,1571.19,1520,1,1521,1510.06,0,1510.06,1552.22,0,1552.22,1498.74,0,1498.74
615,Western Boone Co Com Sch Dist,1662,1672,1664,1639,1665,1665,1661,1662,1680,0,1680,1671,0,1671,1633,0,1633,1634,2,1636,1617,0,1617,1604,0,1604
630,Zionsville Community Schools,6426.85,6407.07,6610.94,6625.55,6796.02,6768.38,6981.64,6930.32,7141,0,7141,7160,0,7160,7241,3,7244,7279,1,7280,7527,0,7527,7532,0,7532
665,Lebanon Community School Corp,3525.92,3508.46,3457.23,3448,3485,3441,3434,3391,3388,0,3388,3346,17,3363,3302,21,3323,3251,15,3266,3303,23,3326,3232,25,3257
670,Brown County School Corporation,1971.79,1928.14,1867.53,1878.53,1878.88,1882.39,1786.23,1750.29,1760.29,0,1760.29,1735.4,0,1735.4,1660.49,0,1660.49,1668.37,1,1669.37,1601,0,1601,1562.08,7,1569.08
750,Carroll Consolidated Sch Corp,1133,1124,1121,1114,1086,1076,1089,1047,1068,0,1068,1083,0,1083,1031,0,1031,1014,0,1014,1057,0,1057,1045,0,1045
755,Delphi Community School Corp,1441.94,1430.44,1423.96,1405.46,1424.5,1409,1388.5,1378.5,1387,0,1387,1407,0,1407,1403,0,1403,1391.5,0,1391.5,1386,0,1386,1377.14,0,1377.14
775,Pioneer Regional School Corp,919.95,918.11,918,923,959.52,964.52,925,934,957,0,957,960,0,960,939,0,939,941,0,941,946,1,947,925,0,925
815,Southeastern School Corp,1384,1392,1343,1320,1311.25,1291.75,1338.5,1322.8,1335.88,0,1335.88,1329.1,0,1329.1,1297.45,1,1298.45,1269.82,0,1269.82,1361.7,0,1361.7,1351.48,1,1352.48
875,Logansport Community Sch Corp,4145.15,4080.65,4142.26,4099.15,4155,4147,4186.43,4134.43,4227.43,5,4232.43,4158.67,4,4162.67,4195.95,2,4197.95,4194.8,3,4197.8,4195.14,17,4212.14,4139.14,59,4198.14
935,Borden-Henryville School Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1737.44,1,1738.44,1709.43,0,1709.43,1708.64,0,1708.64,1668.64,18,1686.64
940,West Clark Community Schools,4708.7,4682.2,4686.56,4664.12,4683,4666,4562,4543.5,4547.4,0,4547.4,4533.77,0,4533.77,0,0,0,0,0,0,0,0,0,0,0,0
945,Silver Creek School Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2790.98,2,2792.98,2809.98,2,2811.98,2933,1,2934,2897,0,2897
1000,Clarksville Com School Corp,1385.3,1333.84,1394.39,1363,1370.96,1369.96,1328.49,1348.49,1351.92,0,1351.92,1331.46,0,1331.46,2950.35,36,2986.35,1196,2626,3822,1364,1690,3054,1331,2058,3389
1010,Greater Clark County Schools,10223.95,10193.05,10272.3,10221.2,10115.15,10053.15,10095.95,10031.4,10144.2,16,10160.2,10042.75,28,10070.75,10297.55,15,10312.55,10212.1,17,10229.1,9858.3,242,10100.3,9781.3,228,10009.3
1125,Clay Community Schools,4216.75,4200.26,4159.08,4115.52,4115.96,4082.96,4103.62,4015.82,4075,0,4075,4002.53,0,4002.53,3957.13,2,3959.13,3944.53,3,3947.53,3885.1,70,3955.1,3817.1,77,3894.1
1150,Clinton Central School Corp,972,968,929,937,906.5,896,875,882,867,0,867,865,0,865,817.47,0,817.47,790.94,0,790.94,852.34,0,852.34,827.34,1,828.34
1160,Clinton Prairie School Corp,1120,1107,1188,1170,1208,1190,1256,1229,1214,0,1214,1199,0,1199,1173,0,1173,1181,0,1181,1179,9,1188,1154,14,1168
1170,Community Schools of Frankfort,3129,3156,3144,3078.1,3110.13,3106.41,3126.22,3106.22,3126.58,0,3126.58,3134.58,0,3134.58,3079.73,1,3080.73,3009.71,1,3010.71,2993.41,0,2993.41,2966.41,0,2966.41
1180,Rossville Con School District,1014,1009,996,996,982,977,971,958,984,0,984,977,0,977,928,0,928,919,0,919,927,0,927,932.14,0,932.14
1300,Crawford Co Com School Corp,1522.86,1503.07,1469.86,1481,1464,1472,1435.47,1423,1439.41,0,1439.41,1405.41,0,1405.41,1365.94,1,1366.94,1333.94,2,1335.94,1343.94,0,1343.94,1313.94,4,1317.94
1315,Barr-Reeve Com Schools Inc,807,811,827,834,852,849,932,918,967,0,967,962,0,962,990,0,990,988,0,988,994,0,994,991,1,992
1375,North Daviess Com Schools,1171,1164,1166,1177,1210,1207,1188,1176,1172,0,1172,1172,0,1172,1132,0,1132,1118,0,1118,1103,0,1103,1079,0,1079
1405,Washington Com Schools,2562.93,2544.79,2591.37,2579.73,2602.06,2568.06,2570.82,2521.67,2505.95,0,2505.95,2452.49,0,2452.49,2403.32,1,2404.32,2422.32,0,2422.32,2445,0,2445,2394,9,2403
1560,Sunman-Dearborn Com Sch Corp,3866,3836,3813,3773,3793,3758,3673.23,3625.23,3668.23,0,3668.23,3649.23,0,3649.23,3694.42,2,3696.42,3669.42,2,3671.42,3696.65,53,3749.65,3685.24,49,3734.24
1600,South Dearborn Com School Corp,2582,2556,2505,2482,2449,2437,2321,2297,2189,0,2189,2225,0,2225,2088,0,2088,2077,0,2077,1943,0,1943,1954,0,1954
1620,Lawrenceburg Com School Corp,2002,1989,1989,1995,2049,2045,2038.72,2029.72,2054.21,0,2054.21,2030.21,0,2030.21,2036,2,2038,2044,3,2047,2028,50,2078,2019,70,2089
1655,Decatur County Com Schools,2026,2032,1970,1967,1983,1977,1949,1932,1924,0,1924,1918,0,1918,1857,2,1859,1837,4,1841,1813,5,1818,1769,4,1773
1730,Greensburg Community Schools,2229.03,2200.12,2222.2,2197.03,2150,2125,2131,2092,2098,19,2117,2097,15,2112,2084,2,2086,2054,2,2056,2057,25,2082,2023,18,2041
1805,DeKalb Co Eastern Com Sch Dist,1531,1530,1397,1375,1455,1447,1416,1396,1373,0,1373,1362,0,1362,1333,0,1333,1287.53,0,1287.53,1282.16,0,1282.16,1242.12,0,1242.12
1820,Garrett-Keyser-Butler Com,1798,1789,1794.24,1772.24,1788,1765,1764,1734,1776,0,1776,1774,0,1774,1727,1,1728,1704,4,1708,1737.12,0,1737.12,1715.12,0,1715.12
1835,DeKalb Co Ctl United Sch Dist,3629,3609,3609,3570,3491,3473,3527,3513,3494,1,3495,3473.06,2,3475.06,3367,1,3368,3370,3,3373,3460,0,3460,3417,0,3417
1875,Delaware Community School Corp,2564,2566,2624,2636,2669,2670,2661,2650,2670,0,2670,2628,0,2628,2637,4,2641,2608,1,2609,2580,0,2580,2565.03,0,2565.03
1885,Wes-Del Community Schools,862,851,830,831,885,877,874,855,847,0,847,836,0,836,834,4,838,846,2,848,862,17,879,841,32,873
1895,Liberty-Perry Com School Corp,1173,1173,1208,1195,1228,1216,1195,1195,1204,0,1204,1202,0,1202,1221,0,1221,1201,0,1201,1179,0,1179,1180,0,1180
1900,Cowan Community School Corp,769,762,796,794,819,827,810,807,802,0,802,803,0,803,809,0,809,794,0,794,818,2,820,794,2,796
1910,Yorktown Community Schools,2483,2460,2548,2525,2597,2560,2650,2640,2693,0,2693,2675,0,2675,2700,1,2701,2657,0,2657,2670,26,2696,2669,25,2694
1940,Daleville Community Schools,941,933,934,943,948,938,963,948.5,979,0,979,983,0,983,1017,0,1017,997,0,997,997,0,997,973,2,975
1970,Muncie Community Schools,5865,5760,5620,5553,5114,5070,5066,4915.5,4865,0,4865,4849,0,4849,4801,6,4807,4754,6,4760,4708.23,221,4929.23,4589.23,311,4900.23
2040,Northeast Dubois Co Sch Corp,879,866,849,845,833,820,819,821,814,3,817,804,0,804,774.04,0,774.04,766.78,0,766.78,793.48,7,800.48,799,5,804
2100,Southeast Dubois Co Sch Corp,1272.39,1276.26,1245.65,1253.65,1278,1267,1261.28,1249.28,1243.28,0,1243.28,1251.28,0,1251.28,1214,0,1214,1213.1,0,1213.1,1230.8,0,1230.8,1224.48,0,1224.48
2110,Southwest Dubois Co Sch Corp,1759,1722,1731,1727,1727,1730,1719,1724,1777,0,1777,1763,0,1763,1774,1,1775,1758,1,1759,1806,0,1806,1809,1,1810
2120,Greater Jasper Con Schs,3200,3197,3167,3139,3128,3139,3129,3139,3168,0,3168,3147,0,3147,3168,0,3168,3160,1,3161,3189,0,3189,3153,0,3153
2155,Fairfield Community Schools,2115.64,2110.75,2141.41,2140.56,2155.9,2146.84,2186.01,2152.13,2204.67,1,2205.67,2204.28,0,2204.28,2168.52,1,2169.52,2161.54,1,2162.54,2175,0,2175,2151,0,2151
2260,Baugo Community Schools,1930.25,1907.13,1911,1878,1890,1874.12,1885.12,1883.12,1921,0.12,1921.12,1915.12,0,1915.12,1869,0,1869,1855,1,1856,1857,2,1859,1477,374,1851
2270,Concord Community Schools,5306.35,5345.35,5371.94,5324.94,5264.41,5269.41,5341.5,5303.92,5236.42,0,5236.42,5138.94,0,5138.94,5174.88,10,5184.88,5138.92,11,5149.92,5222.44,0,5222.44,5238.47,0,5238.47
2275,Middlebury Community Schools,4554.52,4529.04,4580.66,4528.05,4573.7,4507.33,4574.16,4534.32,4483.16,4,4487.16,4456.86,13.14,4470,4509.47,7,4516.47,4245.59,5,4250.59,4276.61,22.14,4298.75,4202.92,20.56,4223.48
2285,Wa-Nee Community Schools,3036.44,2986.44,3037.8,3046.8,3059.44,3028.2,3062.8,3023.8,3049,34,3083,3013,42,3055,2913,6,2919,2914.64,0,2914.64,2887.94,3,2890.94,2870.72,2,2872.72
2305,Elkhart Community Schools,12771.75,12831.58,12584.52,12563.03,12572.32,12487.59,12203.52,12124.11,12006.31,100,12106.31,11931.96,141,12072.96,11607.42,75,11682.42,11415.42,60,11475.42,11473.58,65,11538.58,11228.35,80,11308.35
2315,Goshen Community Schools,6570.12,6547.53,6514.82,6471.82,6572,6561,6530,6521.5,6571,0,6571,6496.21,0,6496.21,6325.21,3,6328.21,6281.75,2,6283.75,6281.97,1,6282.97,6257.57,0,6257.57
2395,Fayette County School Corp,3454.83,3402.36,3410.18,3348.18,3292.18,3234.18,3250.56,3199.06,3184.49,0,3184.49,3149.49,0,3149.49,3110.19,2,3112.19,3062,1,3063,3082,0,3082,2996,2,2998
2400,New Albany-Floyd Co Con Sch,11339.02,11326.18,11363.33,11303.45,11453.57,11489.99,11586.74,11503.19,11648.7,8,11656.7,11572.15,32,11604.15,11375.42,18,11393.42,11354.6,19,11373.6,11214.59,163,11377.59,11118.68,227,11345.68
2435,Attica Consolidated Sch Corp,706,686,674,674,611,625,603,584,566.37,0,566.37,564.37,0,564.37,572.72,0,572.72,560,0,560,558,5,563,466,78,544
2440,Covington Community Sch Corp,905,902,889,883,890,881,845,831,829,0,829,830,0,830,790,0,790,785,0,785,814,2,816,798,3,801
2455,Southeast Fountain School Corp,1091,1090,1071,1057,1034,1027,1045,1030,1054,2,1056,1013,2,1015,1015,0,1015,1013,0,1013,974,13,987,940,22,962
2475,Franklin County Com Sch Corp,2522.96,2477.66,2451.78,2384.32,2321,2282,2223,2168,2133,19,2152,2111,7,2118,2033,0,2033,2008,2,2010,2031,31,2062,1975,30,2005
2645,Rochester Community Sch Corp,1796,1807.05,1821.32,1823.32,1759.24,1755.29,1703.25,1682.25,1697.25,0,1697.25,1680.25,0,1680.25,1711.13,2,1713.13,1660.13,0,1660.13,1610,26,1636,1541,48,1589
2650,Caston School Corporation,721,706,693,693,672,662,669,655,683,0,683,687,0,687,671,0,671,671,0,671,722,10,732,756,13,769
2725,East Gibson School Corporation,927.5,923,895,871,871,876,855,843,805,0,805,800,0,800,779,1,780,776,1,777,729,19,748,712,31,743
2735,North Gibson School Corp,2055.89,2022.26,2024.26,2005.52,2012.26,2015.43,1998.43,1950.43,1969.77,0,1969.77,1937.4,0,1937.4,1931.01,5,1936.01,1873.64,2,1875.64,1917.38,3,1920.38,1840,8,1848
2765,South Gibson School Corp,1953.27,1929.27,1967.09,1966.27,2009.54,1992.27,2025.82,2006.82,2066.05,0,2066.05,2038.47,0,2038.47,2028.31,1,2029.31,2018.32,1,2019.32,2063.03,0,2063.03,2055.63,0,2055.63
2815,Eastbrook Community Sch Corp,1552,1539,1586,1569,1614.43,1591.32,1619.03,1589.51,1585.39,0,1585.39,1562.09,0,1562.09,1579.7,2,1581.7,1556.26,0,1556.26,1548.55,17.43,1565.98,1533.28,15.43,1548.71
2825,Madison-Grant United Sch Corp,1252,1233,1191,1180,1157,1140,1098,1084,1077,0,1077,1069,0,1069,1055,0,1055,1034,0,1034,1001,187,1188,1015,459,1474
2855,Mississinewa Community School Corp,2413,2435,2420,2402,2385,2354,2313,2302,2352,0,2352,2338,0,2338,2298,1,2299,2284,2,2286,2316,6,2322,2193,112,2305
2865,Marion Community Schools,3563,3579,3593,3614,3510,3530.5,3590,3572,3591,0,3591,3588,0,3588,3529,3,3532,3536,2,3538,3477,46,3523,3293,203,3496
2920,Bloomfield School District,856,853.5,829,827.12,846.13,854.27,816,792.52,810.51,0,810.51,805.93,0,805.93,793.82,2,795.82,792.82,4,796.82,808,11,819,794.14,19.22,813.36
2940,Eastern Greene Schools,1250.05,1212.55,1172,1164,1143,1149,1149,1125,1093,0,1093,1081,0,1081,1086,0,1086,1048.5,0,1048.5,1026,18,1044,1007,42,1049
2950,Linton-Stockton School Corp,1440.14,1400,1423.5,1401,1414,1381,1371,1342,1369,0,1369,1348,0,1348,1325,0,1325,1331,0,1331,1283,31,1314,1249,35,1284
2960,M S D Shakamak Schools,842,812,823,815,774,758,747,749,716,0,716,718,0,718,657,0,657,647,0,647,653,2,655,619,19,638
2980,White River Valley Sch Dist,770,790,766,767,769,772,768,752,750,0,750,767,0,767,769,0,769,762,0,762,769,5,774,733,23,756
3005,Hamilton Southeastern Schools,20830,20776.29,21114.46,21144.6,21347.99,21405.78,21484.62,21514.62,21807.88,0,21807.88,21873.02,0,21873.02,21383.51,12,21395.51,21325.37,14,21339.37,21099,128,21227,21213.01,165,21378.01
