Indicator,Points,Rating,Weight,Weighted Points
ELA Academic Achievement,10.40,Does Not Meet Expectations,2.00,20.800
Math Academic Achievement,15.53,Does Not Meet Expectations,2.00,31.060
ELA Academic Progress,0.00,No Rating,0.00,0.000
Math Academic Progress,0.00,No Rating,0.00,0.000
ELA Closing Achievement Gaps,0.00,No Rating,0.00,0.000
Math Closing Achievement Gaps,0.00,No Rating,0.00,0.000
Progress in Achieving English Language Proficiency,0.00,No Rating,0.00,0.000
Addressing Chronic Absenteeism,0.00,No Rating,0.00,0.000
Elementary/Middle School Overall Weight and Points:,,,4.00,12.97
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Enrollment,Enrollment Percent
Grades 03-08,31,100.00 %
Grades 09-12,0,0.00 %
Sugroup,Points,Rating,Subgroup,Points,Rating
American Indian/Alaskan Native,0,No Rating,Asian,0,No Rating
Black,14.65,Does Not Meet Expectations,Hispanic Ethnicity,0,No Rating
Multiracial,0,No Rating,Native Hawaiian or Other Pacific Islander,0,No Rating
White,0,No Rating,English Language Learner,0,No Rating
Free/Reduced Lunch,8.44,Does Not Meet Expectations,Special Education,0,No Rating
,Grades 03-08,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,"7.7 %
( 2 /  26)","100.0 %
( 26 /  26)",7.7,1.35,10.40
Mathematics,"11.5 %
( 3 /  26)","100.0 %
( 26 /  26)",11.5,1.35,15.53
,Grade 11,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,,,,,
Mathematics,,,,,
,Grades 4-8,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,,,
Mathematics,,,
,Grade 112,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,,,
Mathematics,,,
,Grades 4-8,,,,
Subject Area,Bottom 25% Adequate Growth Rate,Top 75% Adequate Growth Rate,Weighted Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,,,,,
Mathematics,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Grade Span,"Met Goal or Achieved Proficiency
Rate",Goal Factor,Points
Grades K-8,,,
,,,
Grade Span,"Model Attendee
Rate",Goal Factor,Overall Points
Grades K-8,,,
,,,
