Indicator,Points,Rating,Weight,Weighted Points
ELA Academic Achievement,12.96,Does Not Meet Expectations,2.00,25.920
Math Academic Achievement,5.54,Does Not Meet Expectations,2.00,11.080
ELA Academic Progress,14.12,Does Not Meet Expectations,2.00,28.240
Math Academic Progress,5.22,Does Not Meet Expectations,2.00,10.440
ELA Closing Achievement Gaps,2.13,Does Not Meet Expectations,0.50,1.065
Math Closing Achievement Gaps,0.85,Does Not Meet Expectations,0.50,0.425
Progress in Achieving English Language Proficiency,0.00,No Rating,0.00,0.000
Addressing Chronic Absenteeism,99.46,Meets Expectations,1.00,99.460
Elementary/Middle School Overall Weight and Points:,,,10.00,17.66
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,Enrollment,Enrollment Percent
Grades 03-08,88,100.00 %
Grades 09-12,0,0.00 %
Sugroup,Points,Rating,Subgroup,Points,Rating
American Indian/Alaskan Native,0,No Rating,Asian,0,No Rating
Black,12.97,Does Not Meet Expectations,Hispanic Ethnicity,0,No Rating
Multiracial,0,No Rating,Native Hawaiian or Other Pacific Islander,0,No Rating
White,0,No Rating,English Language Learner,0,No Rating
Free/Reduced Lunch,17.68,Does Not Meet Expectations,Special Education,0,No Rating
,Grades 03-08,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,9.6 % ( 7 /  73),100.0 % ( 73 /  73),9.6,1.35,12.96
Mathematics,4.1 % ( 3 /  73),100.0 % ( 73 /  73),4.1,1.35,5.54
,Grade 11,,,,
Subject Area,Pass Rate,Participation,Perf. Points,Goal Factor,Overall Points
English/Lang. Arts,,,,,
Mathematics,,,,,
,Grades 4-8,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,10.7 % ( 6 /  56),1.32,14.12
Mathematics,3.6 % ( 2 /  56),1.45,5.22
,Grade 112,,
Subject Area,Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,,,
Mathematics,,,
,Grades 4-8,,,,
Subject Area,Bottom 25% Adequate Growth Rate,Top 75% Adequate Growth Rate,Weighted Adequate Growth Rate,Goal Factor,Overall Points
English/Lang. Arts,0.0 % ( 0 /  14),14.3 % ( 6 /  42),1.4 %,1.52,2.13
Mathematics,0.0 % ( 0 /  16),5.0 % ( 2 /  40),0.5 %,1.69,0.85
,,,,,
,,,,,
,,,,,
,,,,,
Grade Span,Met Goal or Achieved Proficiency Rate,Goal Factor,Points
Grades K-8,,,
,,,
Grade Span,Model Attendee Rate,Goal Factor,Overall Points
Grades K-8,82.2 % ( 60 /  73),1.21,99.46
,,,
