School Name,Corporation Name,Corporation ID,School ID,School Type,Network,Opening Year,Address,City,State,Zip,County,Lat,_Lat,Lon,_Lon,GEO Corp,Principal,Principal Email,Phone,School Website,Comp1,Comp2,Comp3,Comp4,Comp5,2016 September ADM,2016 February ADM,2017 September ADM,2017 February ADM,2018 September ADM,2018 February ADM,2019 September ADM,2019 February ADM,2020 Sept 2019 NonVirtual ADM,2020 Sept 2019 Virtual ADM,2020 September ADM,2020 Feb 2020 NonVirtual ADM,2020 Feb 2020 Virtual ADM,2020 February ADM,2021 Sept 2020 NonVirtual ADM ,2021 Sept 2020 Virtual ADM,2021 September ADM,2021 Feb 2021 NonVirtual ADM,2021 Feb 2021 Virtual ADM,2021 February ADM,2022 Sept 2021 NonVirtual ADM,2022 Sept 2021 Virtual ADM,2022 September ADM,2022 Feb 2022 NonVirtual ADM,2022 Feb 2022 Virtual ADM,2022 February ADM
ACE Preparatory Academy,ACE Preparatory Academy,9970,1111,K8,None,2016-17,5326 Hillside Avenue,Indianapolis,IN,46220,Marion,39.85033733,39.85005,-86.12530745,-86.126061,5385,Anna Shults,ashults@aceprepacademy.org,(317) 744-9847,http://www.aceprepacademy.org/,5591,5659,5538,5621,5629,0,0,35,32,81,79,90,94,163,0,163,155,0,155,161,0,161,164,1,165,136,0,136,138,0,138
Allegiant Preparatory Academy,Allegiant Preparatory Academy,9065,1002,K8,None,2018-19,3125 Concord Ct,Indianapolis,IN,46222,Marion,39.77747551,39.7772,-86.21084261,-86.211185,5385,Rick Anderson,randerson@allegiantprep.org,(317) 489-6877,,5590,1112,1004,5871,9971,0,0,0,0,0,0,39,36,66,0,66,71,0,71,110,0,110,105,0,105,114,0,121,113,0,113
Christel House Academy South,Christel House Academy South,9380,5874,K8,Christel House Academy - Network,2001-02,2405 Madison Ave,Indianapolis,IN,46225,Marion,39.73323976,39.727941,-86.15400616,-86.148329,5385,Jenny Reynolds,jreynolds@chschools.org,(317) 783-4690,http://chacademy.org/south/index.html,5531,5868,9993,5534,5570,641,630,719,697,660,640,664,656,676,0,676,663,0,663,493.5,0,493.5,488.5,0,488.5,463.5,0,463.5,460.5,0,460.5
Christel House Academy West,Christel House Academy West,9395,5871,K8,Christel House Academy - Network,2013-14,55 N Tibbs Ave,Indianapolis,IN,46222,Marion,39.76769,39.766233,-86.215855,-86.212533,5385,Donald Carver,dcarver@chschools.org,(317) 783-4901,http://chacademy.org/west/index.html,9971,1004,5546,5590,1002,198,190,266,260,323,314,377,370,436,0,436,436,0,436,491,1,492,493,0,493,471,0,474,471,0,471
Christel House Academy DORS,Christel House DORS,9385,5532,AHS,Christel House Academy - Network,2011-12,2717 S East St,Indianapolis,IN,46225,Marion,39.7276105,39.72643,-86.14911901,-86.148031,5385,Emily Masengale,emasengale@chacademy.org,(317) 783-4686,http://chdors.org/,5669,5644,5492,5462,5474,0,0,440,440,587,524,669,489,0,0,617,0,0,572,0,0,577,0,0,735,0,0,714,0,0,733
Christel House Watanabe Manual HS,Christel House Academy South,9380,9709,HS,Christel House Academy - Network,2020-21,2405 Madison Ave,Indianapolis,IN,46225,Marion,39.73323976,39.732922,-86.15400616,-86.153647,5385,Victoria Pittman,ppittman@chschools.org,, ,5304,5644,5462,5523,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.5,0,185.5,180.5,0,180.5,0,0,277.5,0,0,274.5
Circle City Preparatory Charter School,Circle City Prep Charter School,9150,1126,K8,None,2017-18,4002 N Franklin Road ,Indianapolis,IN,46226,Marion,39.82858596,39.830414,-86.02708039,-86.028552,5385,Megan Murphy,mmurphy@circlecityprep.org,(317) 721-8515,http://circlecityprep.org,5674,5662,5614,5596,5583,0,0,0,0,78,74,131,120,177,0,177,174,0,174,224,0,224,217,0,217,269,0,269,258,0,258
Excel Center - Anderson,Excel Center - Anderson,9750,4904,AHS,Excel Center - Network,2012-13,630 Nichol Ave,Anderson,IN,46016,Madison,40.10476416,40.105208,-85.68762356,-85.688631,5275,Miriam Henry,mhenry@excelcenter.org,(317) 524-3930,https://excelcenter.org/campus/anderson/,4945,5092,5011,5053,,0,0,296,263,313,273,289,230,0,0,299,0,0,311.92,0,0,305,0,0,304.75,0,0,297,0,0,297
Excel Center - Bloomington,Excel Center - Bloomington,8655,4209,AHS,Excel Center - Network,2019-20,2088 Liberty Drive,Bloomington,IN,47403,Monroe,39.14897983,,-86.577078,,5740,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,122,0,0,123.57,0,0,156,0,0,171.86,0,0,100,0,0,95
Excel Center - Clarksville,Excel Center - Clarksville,9050,2006,AHS,Excel Center - Network,2017-18,1329 Applegate Lane,Clarksville,IN,47129,Clark,38.31061758,38.31299,-85.75727253,-85.762211,1000,Corenn Lorenzini,corenn.lorenzini@goodwilleducation.org,(812) 283-7908,https://excelcenter.org/campus/clarksville/,833,1007,1925,1930,,0,0,0,0,186,192,282,284,0,0,316,0,0,337.83,0,0,306,0,0,315.74,0,0,356,0,0,309
