School Name,Corporation Name,Corporation ID,School ID,School Type,Network,Opening Year,Address,City,State,Zip,County,Lat,_Lat,Lon,_Lon,GEO Corp,Principal,Principal Email,Phone,School Website,Comp1,Comp2,Comp3,Comp4,Comp5
ACE Preparatory Academy,ACE Preparatory Academy,9970,1111,K8,None,2016-17,5326 Hillside Avenue,Indianapolis,IN,46220,Marion,39.85033733,39.85005,-86.12530745,-86.126061,5385,Amanda Lilies,alilies@aceprepacademy.org,(317) 744-9847,http://www.aceprepacademy.org/,5591,5659,5538,5621,5629
Allegiant Preparatory Academy,Allegiant Preparatory Academy,9065,1002,K8,None,2018-19,3125 Concord Ct,Indianapolis,IN,46222,Marion,39.77747551,39.7772,-86.21084261,-86.211185,5385,Rick Anderson,randerson@allegiantprep.org,(317) 489-6877,,5590,1112,1004,5871,9971
Christel House Academy DORS,Christel House DORS,9385,5532,AHS,Christel House Academy - Network,2011-12,2717 S East St,Indianapolis,IN,46225,Marion,39.7276105,39.72643,-86.14911901,-86.148031,5385,West: Heather Starks; Manual: Noel Wilson,,(317) 783-4686,http://chdors.org/,5669,5644,5492,5462,5474
Christel House Academy South,Christel House Academy South,9380,5874,K8,Christel House Academy - Network,2001-02,2405 Madison Ave,Indianapolis,IN,46225,Marion,39.73323976,39.727941,-86.15400616,-86.148329,5385,Allison Baker,abaker@chschools.org,(317) 783-4690,http://chacademy.org/south/index.html,5531,5868,9993,5534,5570
Christel House Academy West,Christel House Academy West,9395,5871,K8,Christel House Academy - Network,2013-14,55 N Tibbs Ave,Indianapolis,IN,46222,Marion,39.76769,39.766233,-86.215855,-86.212533,5385,Eric Parquet,eparquet@chschools.org,(317) 783-4901,http://chacademy.org/west/index.html,9971,1004,5546,5590,1002
Christel House Watanabe Manual HS,Christel House Academy South,9380,9709,HS,Christel House Academy - Network,2020-21,2405 Madison Ave,Indianapolis,IN,46225,Marion,39.73323976,39.732922,-86.15400616,-86.153647,5385,Page Pittman,ppittman@chschools.org,, ,5304,5644,5462,5523,
Circle City Preparatory Charter School,Circle City Prep Charter School,9150,1126,K8,None,2017-18,4002 N Franklin Road ,Indianapolis,IN,46226,Marion,39.82858596,39.830414,-86.02708039,-86.028552,5385,Megan Murphy,mmurphy@circlecityprep.org,(317) 721-8515,http://circlecityprep.org,5674,5662,5614,5596,5583
Excel Center - Anderson,Excel Center - Anderson,9750,4904,AHS,Excel Center - Network,2012-13,630 Nichol Ave,Anderson,IN,46016,Madison,40.10476416,40.105208,-85.68762356,-85.688631,5275,Elise Hamlin,ehamlin@excelcenter.org,(317) 524-3930,https://excelcenter.org/campus/anderson/,4945,5092,5011,5053,
Excel Center - Bloomington,Excel Center - Bloomington,8655,4209,AHS,Excel Center - Network,2019-20,2088 Liberty Drive,Bloomington,IN,47403,Monroe,39.14897983,,-86.577078,,5740,Twyla Carlson,tcarlson@excelcenter.org,,,,,,,
Excel Center - Clarksville,Excel Center - Clarksville,9050,2006,AHS,Excel Center - Network,2017-18,1329 Applegate Lane,Clarksville,IN,47129,Clark,38.31061758,38.31299,-85.75727253,-85.762211,1000,Corenn Lorenzini,corenn.lorenzini@goodwilleducation.org,(812) 283-7908,https://excelcenter.org/campus/clarksville/,833,1007,1925,1930,
Excel Center - Elkhart,Excel Center - Elkhart,9539,9708,AHS,Goodwill LEADS - Network,2021-22,1 Blazer Blvd,Elkhart,IN,46516,Elkhart,41.684429,41.684909,-85.960097,-85.958917,2305,Mike Gallo,mgallo@excelcenterhs.org,, ,1751,1752,1754,1715,
Excel Center - Gary,Excel Center - Gary,9190,1024,AHS,Goodwill LEADS - Network,2018-19,4610 W Ridge Road,Gary,IN,46408,Lake,41.54842561,41.549771,-87.39413812,-87.395232,4690,Theresa Knipe,tknipe@excelcenterhs.org,(219) 789-5236,,4163,4151,4027,2018,3924
Excel Center - Hammond,Excel Center - Hammond,9055,2018,AHS,Goodwill LEADS - Network,2017-18,3438 169th Street,Hammond,IN,46323,Lake,41.58812614,41.586907,-87.44569118,-87.445526,4710,Dr. Countance Anderson,canderson@excelcenterhs.org,(219) 844-1911,http://excelatgoodwill.org/hammond/,4415,4417,4419,4486,1024
Excel Center - Kokomo,Excel Center - Kokomo,9355,2976,AHS,Excel Center - Network,2013-14,101 W Superior St,Kokomo,IN,46901,Howard,40.485457,40.48508,-86.131359,-86.131811,3500,Emily Fritsch,efritsch@excelcenter.org,(317) 524-3642,https://excelcenter.org/campus/kokomo/,2949,3013,2897,2894,
Excel Center - Lafayette,Excel Center - Lafayette,9345,8094,AHS,Excel Center - Network,2013-14,615 N 18th St,Lafayette,IN,47904,Tippecanoe,40.42323315,40.42324,-86.87718049,-86.875601,7855,Danielle White,dwhite@excelcenter.org,(317) 524-3641,http://excelcenter.org/campus/lafayette/,8069,8003,8008,8029,
Excel Center - Muncie,Excel Center - Muncie,9160,1016,AHS,Excel Center - Network,2018-19,1023 W Jackson St,Muncie,IN,47305,Delaware,40.192898,40.192149,-85.39857097,-85.39764,1970,Brandon Marks,bmarks@excelcenter.org,(765) 283-0916,,1421,1422,1524,1441,1443
Excel Center - Noblesville,Excel Center - Noblesville,9855,5748,AHS,Excel Center - Network,2015-16,300 North 17th Street,Noblesville,IN,46060,Hamilton,40.04852135,40.04839,-86.00244452,-86.002991,3070,Steven Dillon,sdillon@excelcenter.org,(317) 524-4410,http://www.excelcenter.org/campus/noblesville,2517,2546,2524,2551,9329
Excel Center - Richmond,Excel Center - Richmond,9305,9012,AHS,Excel Center - Network,2013-14,1215 S 'J' St,Richmond,IN,47374,Wayne,39.81515535,39.814857,-84.88564738,-84.8891,8385,Jeri Zawadzki,jzawadzki@excelcenter.org,(317) 524-3734,https://excelcenter.org/campus/richmond/,8993,9056,8981,8961,8927
Excel Center - Shelbyville,Excel Center - Shelbyville,9995,1117,AHS,Excel Center - Network,2016-17,111 North Harrison Street,Shelbyville,IN,46176,Shelby,39.52549267,39.525353,-85.77711267,-85.777305,7365,Shonda Russell,srussell@excelcenter.org,(317) 524-4430,https://excelcenter.org/campus/shelbyville,7717,7671,7665,7689,7701
